driver,lap,position,time
Hamilton,1,1,1.31.686
Hamilton,2,1,1.28.791
Hamilton,3,1,1.28.587
Hamilton,4,1,1.28.789
Hamilton,5,1,1.28.630
Hamilton,6,1,1.28.593
Hamilton,7,1,1.28.550
Hamilton,8,1,1.28.585
Hamilton,9,1,1.28.356
Hamilton,10,1,1.28.216
Hamilton,11,1,1.28.134
Hamilton,12,1,1.28.566
Hamilton,13,1,1.28.258
Hamilton,14,1,1.30.253
Hamilton,15,2,1.48.755
Hamilton,16,2,1.27.833
Hamilton,17,2,1.27.780
Hamilton,18,2,1.27.889
Hamilton,19,2,1.28.232
Hamilton,20,2,1.33.443
Hamilton,21,1,1.30.485
Hamilton,22,1,1.28.006
Hamilton,23,1,1.27.663
Hamilton,24,1,1.27.979
Hamilton,25,1,1.27.870
Hamilton,26,1,1.28.077
Hamilton,27,1,1.27.975
Hamilton,28,1,1.28.143
Hamilton,29,1,1.27.484
Hamilton,30,1,1.27.508
Hamilton,31,1,1.27.495
Hamilton,32,1,1.27.444
Hamilton,33,1,1.27.742
Hamilton,34,1,1.27.201
Hamilton,35,1,1.27.591
Hamilton,36,1,1.41.467
Hamilton,37,1,1.56.216
Hamilton,38,1,1.30.157
Hamilton,39,1,1.26.762
Hamilton,40,1,1.27.387
Hamilton,41,1,1.26.718
Hamilton,42,1,1.26.782
Hamilton,43,1,1.26.615
Hamilton,44,1,1.27.020
Hamilton,45,1,1.26.966
Hamilton,46,1,1.27.270
Hamilton,47,1,1.27.683
Hamilton,48,1,1.27.553
Hamilton,49,1,1.26.875
Hamilton,50,1,1.26.784
Hamilton,51,1,1.26.934
Hamilton,52,1,1.26.833
Hamilton,53,1,1.38.574
Hamilton,54,1,2.22.911
Hamilton,55,1,2.32.083
Hamilton,56,1,2.25.761
Hamilton,57,1,2.28.331
Hamilton,58,2,1.29.330
Verstappen,1,2,1.32.800
Verstappen,2,2,1.29.103
Verstappen,3,2,1.28.827
Verstappen,4,2,1.29.026
Verstappen,5,2,1.28.718
Verstappen,6,2,1.28.707
Verstappen,7,2,1.28.636
Verstappen,8,2,1.28.817
Verstappen,9,2,1.28.671
Verstappen,10,2,1.28.890
Verstappen,11,2,1.29.137
Verstappen,12,2,1.29.282
Verstappen,13,2,1.31.515
Verstappen,14,4,1.47.251
Verstappen,15,4,1.28.492
Verstappen,16,4,1.29.006
Verstappen,17,4,1.29.108
Verstappen,18,3,1.28.502
Verstappen,19,3,1.28.713
Verstappen,20,3,1.28.387
Verstappen,21,2,1.28.569
Verstappen,22,2,1.28.322
Verstappen,23,2,1.28.175
Verstappen,24,2,1.28.179
Verstappen,25,2,1.28.041
Verstappen,26,2,1.28.600
Verstappen,27,2,1.28.348
