driver,lap,position,time
Verstappen,1,1,01.27.8
Verstappen,2,1,01.52.3
Verstappen,3,1,01.56.6
Verstappen,4,1,01.09.8
Verstappen,5,1,01.09.7
Verstappen,6,1,01.09.5
Verstappen,7,1,01.09.3
Verstappen,8,1,01.09.3
Verstappen,9,1,01.09.2
Verstappen,10,1,01.09.1
Verstappen,11,1,01.09.1
Verstappen,12,1,01.09.1
Verstappen,13,1,01.09.1
Verstappen,14,1,01.09.1
Verstappen,15,1,01.09.1
Verstappen,16,1,01.09.1
Verstappen,17,1,01.09.1
Verstappen,18,1,01.09.2
Verstappen,19,1,01.09.3
Verstappen,20,1,01.09.4
Verstappen,21,1,01.09.3
Verstappen,22,1,01.09.3
Verstappen,23,1,01.09.5
Verstappen,24,1,01.09.5
Verstappen,25,1,01.08.9
Verstappen,26,1,01.09.6
Verstappen,27,1,01.09.3
Verstappen,28,1,01.09.3
Verstappen,29,1,01.09.5
Verstappen,30,1,01.09.5
Verstappen,31,1,01.09.6
Verstappen,32,1,01.13.1
Verstappen,33,1,01.25.5
Verstappen,34,1,01.08.5
Verstappen,35,1,01.08.7
Verstappen,36,1,01.08.8
Verstappen,37,1,01.08.9
Verstappen,38,1,01.08.7
Verstappen,39,1,01.08.6
Verstappen,40,1,01.09.1
Verstappen,41,1,01.08.9
Verstappen,42,1,01.08.8
Verstappen,43,1,01.08.9
Verstappen,44,1,01.08.9
Verstappen,45,1,01.09.4
Verstappen,46,1,01.08.8
Verstappen,47,1,01.08.8
Verstappen,48,1,01.08.9
Verstappen,49,1,01.08.8
Verstappen,50,1,01.08.6
Verstappen,51,1,01.08.4
Verstappen,52,1,01.08.5
Verstappen,53,1,01.08.2
Verstappen,54,1,01.08.2
Verstappen,55,1,01.08.1
Verstappen,56,1,01.08.0
Verstappen,57,1,01.08.0
Verstappen,58,1,01.07.8
Verstappen,59,1,01.08.1
Verstappen,60,1,01.11.7
Verstappen,61,1,01.25.1
Verstappen,62,1,01.06.2
Verstappen,63,1,01.08.5
Verstappen,64,1,01.08.2
Verstappen,65,1,01.07.9
Verstappen,66,1,01.07.9
Verstappen,67,1,01.07.8
Verstappen,68,1,01.08.0
Verstappen,69,1,01.07.9
Verstappen,70,1,01.07.9
Verstappen,71,1,01.07.7
Perez,1,3,01.33.4
Perez,2,3,01.49.5
Perez,3,3,01.54.4
Perez,4,10,01.16.0
Perez,5,10,01.11.7
Perez,6,10,01.11.3
Perez,7,10,01.11.0
Perez,8,10,01.11.3
Perez,9,10,01.11.1
Perez,10,10,01.11.0
Perez,11,10,01.11.3
Perez,12,9,01.11.7
Perez,13,9,01.11.6
Perez,14,8,01.12.3
Perez,15,8,01.11.0
Perez,16,8,01.10.7
Perez,17,7,01.10.9
Perez,18,7,01.10.5
Perez,19,7,01.10.2
Perez,20,7,01.10.6
Perez,21,7,01.10.0
Perez,22,7,01.10.1
Perez,23,7,01.10.0
Perez,24,7,01.10.0
Perez,25,7,01.10.0
Perez,26,7,01.09.9
Perez,27,7,01.10.3
Perez,28,7,01.10.2
Perez,29,6,01.10.2
Perez,30,6,01.09.7
Perez,31,6,01.10.0
Perez,32,7,01.14.0
Perez,33,10,01.25.5
Perez,34,10,01.08.7
Perez,35,9,01.08.9
