driver,lap,position,time
Verstappen,1,1,1.58.245
Verstappen,2,1,2.22.406
Verstappen,3,1,2.38.001
Verstappen,4,1,1.44.343
Verstappen,5,1,1.44.629
Verstappen,6,1,1.35.982
Verstappen,7,1,1.35.902
Verstappen,8,1,1.36.032
Verstappen,9,1,1.36.012
Verstappen,10,1,1.36.175
Verstappen,11,1,1.36.179
Verstappen,12,1,1.36.592
Verstappen,13,1,1.36.291
Verstappen,14,1,1.36.880
Verstappen,15,1,1.36.924
Verstappen,16,1,1.37.033
Verstappen,17,1,1.39.153
Verstappen,18,2,1.55.532
Verstappen,19,2,1.34.421
Verstappen,20,2,1.34.870
Verstappen,21,2,1.34.829
Verstappen,22,2,1.35.159
Verstappen,23,2,1.35.122
Verstappen,24,2,1.35.207
Verstappen,25,2,1.35.044
Verstappen,26,2,1.34.958
Verstappen,27,2,1.35.118
Verstappen,28,1,1.35.126
Verstappen,29,1,1.35.282
Verstappen,30,1,1.35.476
Verstappen,31,1,1.35.054
Verstappen,32,1,1.35.378
Verstappen,33,1,1.35.286
Verstappen,34,1,1.35.638
Verstappen,35,1,1.35.593
Verstappen,36,1,1.35.721
Verstappen,37,1,1.35.620
Verstappen,38,1,1.35.921
Verstappen,39,1,1.37.828
Verstappen,40,2,1.53.437
Verstappen,41,2,1.33.228
Verstappen,42,2,1.33.450
Verstappen,43,2,1.33.231
Verstappen,44,2,1.33.594
Verstappen,45,2,1.34.056
Verstappen,46,2,1.33.894
Verstappen,47,2,1.34.092
Verstappen,48,2,1.33.818
Verstappen,49,2,1.33.576
Verstappen,50,2,1.33.893
Verstappen,51,2,1.33.964
Verstappen,52,2,1.34.669
Verstappen,53,2,1.36.413
Verstappen,54,2,1.35.073
Verstappen,55,2,1.34.565
Verstappen,56,2,1.34.727
Hamilton,1,2,1.59.538
Hamilton,2,2,2.22.712
Hamilton,3,2,2.36.656
Hamilton,4,2,1.44.932
Hamilton,5,2,1.45.139
Hamilton,6,2,1.36.169
Hamilton,7,2,1.36.123
Hamilton,8,2,1.36.075
Hamilton,9,2,1.36.148
Hamilton,10,2,1.36.082
Hamilton,11,2,1.36.143
Hamilton,12,2,1.36.507
Hamilton,13,2,1.38.924
Hamilton,14,4,1.55.006
Hamilton,15,3,1.34.057
Hamilton,16,3,1.35.104
Hamilton,17,2,1.35.099
Hamilton,18,1,1.35.266
Hamilton,19,1,1.35.346
Hamilton,20,1,1.35.324
Hamilton,21,1,1.35.837
Hamilton,22,1,1.35.539
Hamilton,23,1,1.35.219
Hamilton,24,1,1.35.087
Hamilton,25,1,1.35.359
Hamilton,26,1,1.35.622
Hamilton,27,1,1.35.940
Hamilton,28,2,1.37.835
Hamilton,29,3,1.55.194
Hamilton,30,3,1.34.365
Hamilton,31,2,1.35.305
Hamilton,32,2,1.34.729
Hamilton,33,2,1.35.041
Hamilton,34,2,1.34.665
Hamilton,35,2,1.34.745
Hamilton,36,2,1.34.754
Hamilton,37,2,1.34.740
Hamilton,38,2,1.34.720
Hamilton,39,2,1.34.816
Hamilton,40,1,1.34.890
Hamilton,41,1,1.34.334
Hamilton,42,1,1.34.199
Hamilton,43,1,1.34.163
Hamilton,44,1,1.34.015
Hamilton,45,1,1.34.583
