driver,lap,position,time
Leclerc,1,1,1.52.162
Leclerc,2,2,1.49.672
Leclerc,3,2,1.48.746
Leclerc,4,2,1.47.600
Leclerc,5,2,1.47.260
Leclerc,6,3,1.47.963
Leclerc,7,4,1.48.611
Leclerc,8,4,1.48.721
Leclerc,9,6,1.51.823
Leclerc,10,10,2.03.438
Leclerc,11,9,1.48.105
Leclerc,12,7,1.49.086
Leclerc,13,7,1.48.039
Leclerc,14,7,1.47.674
Leclerc,15,7,1.47.272
Leclerc,16,7,1.47.240
Leclerc,17,7,1.47.574
Leclerc,18,7,1.47.204
Leclerc,19,6,1.47.286
Leclerc,20,6,1.47.182
Leclerc,21,6,1.47.258
Leclerc,22,6,1.46.512
Leclerc,23,6,1.46.358
Leclerc,24,6,1.46.492
Leclerc,25,6,1.46.641
Leclerc,26,6,1.46.387
Leclerc,27,6,1.46.669
Leclerc,28,6,1.46.516
Leclerc,29,6,1.46.178
Leclerc,30,5,1.46.478
Leclerc,31,5,2.19.518
Leclerc,32,5,2.51.722
Leclerc,33,5,2.53.539
Leclerc,34,5,2.50.506
Leclerc,35,5,3.00.559
Leclerc,36,6,1.52.944
Leclerc,37,6,1.47.663
Leclerc,38,6,1.46.886
Leclerc,39,6,1.45.805
Leclerc,40,6,1.45.753
Leclerc,41,6,1.45.732
Leclerc,42,6,1.45.712
Leclerc,43,6,1.45.594
Leclerc,44,6,1.45.780
Leclerc,45,6,1.45.538
Leclerc,46,5,1.45.382
Leclerc,47,5,2.13.338
Leclerc,48,5,3.05.391
Leclerc,49,5,null
Leclerc,50,3,2.30.922
Leclerc,51,4,1.46.692
Hamilton,1,2,1.52.533
Hamilton,2,1,1.49.236
Hamilton,3,1,1.48.060
Hamilton,4,1,1.47.462
Hamilton,5,1,1.47.642
Hamilton,6,1,1.47.394
Hamilton,7,1,1.47.056
Hamilton,8,1,1.47.084
Hamilton,9,1,1.47.399
Hamilton,10,1,1.47.441
Hamilton,11,3,1.51.218
Hamilton,12,4,2.06.683
Hamilton,13,4,1.46.600
Hamilton,14,4,1.46.670
Hamilton,15,4,1.46.913
Hamilton,16,4,1.45.675
Hamilton,17,4,1.46.145
Hamilton,18,4,1.45.763
Hamilton,19,3,1.46.229
Hamilton,20,3,1.45.910
Hamilton,21,3,1.45.814
Hamilton,22,3,1.46.116
Hamilton,23,3,1.46.379
Hamilton,24,3,1.46.283
Hamilton,25,3,1.45.620
Hamilton,26,3,1.46.044
Hamilton,27,3,1.46.346
Hamilton,28,3,1.46.101
Hamilton,29,3,1.45.846
Hamilton,30,3,1.45.592
Hamilton,31,3,2.18.410
Hamilton,32,3,3.04.722
Hamilton,33,3,2.55.025
Hamilton,34,3,2.52.744
Hamilton,35,3,3.03.419
Hamilton,36,3,1.50.101
Hamilton,37,3,1.46.514
Hamilton,38,3,1.45.215
Hamilton,39,3,1.46.020
Hamilton,40,3,1.45.019
Hamilton,41,3,1.45.027
Hamilton,42,3,1.45.258
Hamilton,43,3,1.44.769
Hamilton,44,3,1.44.779
Hamilton,45,3,1.44.857
Hamilton,46,2,1.45.104
Hamilton,47,2,2.15.406
Hamilton,48,2,3.07.588
Hamilton,49,2,null
Hamilton,50,16,2.48.918
Hamilton,51,16,1.51.085
Verstappen,1,3,1.53.236
Verstappen,2,3,1.49.550
Verstappen,3,3,1.48.040
Verstappen,4,3,1.47.826
Verstappen,5,3,1.47.107
Verstappen,6,2,1.47.548
Verstappen,7,2,1.47.218
Verstappen,8,2,1.47.149
Verstappen,9,2,1.47.125
Verstappen,10,2,1.47.295
Verstappen,11,1,1.47.327
Verstappen,12,2,1.50.389
Verstappen,13,3,2.02.951
Verstappen,14,2,1.46.192
Verstappen,15,2,1.46.385
Verstappen,16,2,1.45.741
Verstappen,17,2,1.45.920
Verstappen,18,1,1.46.101
Verstappen,19,1,1.45.897
Verstappen,20,1,1.45.966
Verstappen,21,1,1.45.705
Verstappen,22,1,1.45.775
Verstappen,23,1,1.45.676
Verstappen,24,1,1.45.456
Verstappen,25,1,1.45.415
Verstappen,26,1,1.45.352
Verstappen,27,1,1.45.452
Verstappen,28,1,1.45.550
Verstappen,29,1,1.45.394
Verstappen,30,1,1.45.653
Verstappen,31,1,2.12.177
Verstappen,32,1,3.17.279
Verstappen,33,1,2.55.319
Verstappen,34,1,2.52.599
Verstappen,35,1,3.05.197
Verstappen,36,1,1.47.649
Verstappen,37,1,1.45.752
Verstappen,38,1,1.45.326
Verstappen,39,1,1.45.125
Verstappen,40,1,1.44.805
Verstappen,41,1,1.44.861
Verstappen,42,1,1.45.186
Verstappen,43,1,1.44.929
Verstappen,44,1,1.44.481
Verstappen,45,1,1.44.488
Perez,1,4,1.54.523
Perez,2,4,1.49.180
Perez,3,4,1.48.644
Perez,4,4,1.47.842
Perez,5,4,1.47.157
Perez,6,4,1.47.513
Perez,7,3,1.47.046
Perez,8,3,1.47.273
Perez,9,3,1.47.415
Perez,10,3,1.46.881
Perez,11,2,1.47.497
Perez,12,1,1.46.800
Perez,13,1,1.49.960
Perez,14,3,2.04.379
Perez,15,3,1.45.868
Perez,16,3,1.46.341
Perez,17,3,1.46.122
Perez,18,3,1.46.063
Perez,19,2,1.45.798
Perez,20,2,1.45.837
Perez,21,2,1.45.722
Perez,22,2,1.45.898
Perez,23,2,1.45.616
Perez,24,2,1.45.591
Perez,25,2,1.45.605
Perez,26,2,1.46.973
Perez,27,2,1.45.995
Perez,28,2,1.45.860
Perez,29,2,1.45.810
Perez,30,2,1.46.023
Perez,31,2,2.15.567
Perez,32,2,3.07.842
Perez,33,2,2.55.360
Perez,34,2,2.53.159
Perez,35,2,3.04.268
Perez,36,2,1.49.238
Perez,37,2,1.46.516
Perez,38,2,1.45.889
Perez,39,2,1.45.405
Perez,40,2,1.45.196
Perez,41,2,1.44.950
Perez,42,2,1.45.051
Perez,43,2,1.44.794
Perez,44,2,1.44.873
Perez,45,2,1.44.687
Perez,46,1,1.44.735
Perez,47,1,2.16.165
Perez,48,1,3.06.897
Perez,49,1,null
Perez,50,1,2.38.614
Perez,51,1,1.44.703
Bottas,1,10,1.59.467
Bottas,2,10,1.50.418
Bottas,3,10,1.49.315
Bottas,4,10,1.49.208
Bottas,5,10,1.48.222
Bottas,6,10,1.48.335
Bottas,7,9,1.48.877
Bottas,8,9,1.48.418
Bottas,9,8,1.48.134
Bottas,10,7,1.48.326
Bottas,11,6,1.52.171
Bottas,12,11,2.04.342
Bottas,13,11,1.47.664
Bottas,14,10,1.47.352
Bottas,15,10,1.47.023
Bottas,16,10,1.46.626
Bottas,17,10,1.46.612
Bottas,18,10,1.46.253
Bottas,19,10,1.46.172
Bottas,20,10,1.46.610
Bottas,21,10,1.47.358
Bottas,22,10,1.47.513
Bottas,23,10,1.47.736
Bottas,24,10,1.46.903
Bottas,25,10,1.46.770
Bottas,26,10,1.46.336
Bottas,27,10,1.46.385
Bottas,28,10,1.46.064
Bottas,29,10,1.46.175
Bottas,30,9,1.48.298
Bottas,31,9,2.32.239
Bottas,32,9,2.39.292
Bottas,33,9,2.51.985
Bottas,34,9,2.47.055
Bottas,35,9,2.55.425
Bottas,36,13,1.56.702
Bottas,37,13,1.48.988
Bottas,38,14,1.48.389
Bottas,39,14,1.47.724
Bottas,40,14,1.46.432
Bottas,41,14,1.46.362
Bottas,42,14,1.45.976
Bottas,43,14,1.45.665
Bottas,44,14,1.45.817
Bottas,45,14,1.46.196
Bottas,46,13,1.48.552
Bottas,47,13,2.18.072
Bottas,48,14,3.06.921
Bottas,49,13,null
Bottas,50,12,2.12.714
Bottas,51,12,1.46.762
