driver,lap,position,time
Verstappen,1,1,1.18.399
Verstappen,2,1,1.14.680
Verstappen,3,1,1.14.471
Verstappen,4,1,1.14.713
Verstappen,5,1,1.14.660
Verstappen,6,1,1.27.488
Verstappen,7,1,1.59.850
Verstappen,8,1,2.13.610
Verstappen,9,1,2.29.633
Verstappen,10,1,1.14.805
Verstappen,11,1,1.14.577
Verstappen,12,1,1.33.704
Verstappen,13,1,1.40.040
Verstappen,14,1,1.24.966
Verstappen,15,1,1.14.364
Verstappen,16,1,1.14.314
Verstappen,17,1,1.14.324
Verstappen,18,1,1.14.516
Verstappen,19,1,1.14.468
Verstappen,20,1,1.14.383
Verstappen,21,1,1.14.744
Verstappen,22,1,1.14.580
Verstappen,23,1,1.14.774
Verstappen,24,1,1.14.842
Verstappen,25,1,1.15.061
Verstappen,26,1,1.14.911
Verstappen,27,1,1.18.696
Verstappen,28,3,1.30.413
Verstappen,29,2,1.13.501
Verstappen,30,2,1.24.575
Verstappen,31,1,1.19.408
Verstappen,32,1,1.13.155
Verstappen,33,1,1.13.140
Verstappen,34,1,1.13.391
Verstappen,35,1,1.13.434
Verstappen,36,1,1.13.578
Verstappen,37,1,1.13.838
Verstappen,38,1,1.13.475
Verstappen,39,1,1.13.693
Verstappen,40,2,1.17.355
Verstappen,41,4,1.29.979
Verstappen,42,3,1.12.959
Verstappen,43,2,1.13.261
Verstappen,44,1,1.12.963
Verstappen,45,1,1.12.977
Verstappen,46,1,1.12.714
Verstappen,47,1,1.12.486
Verstappen,48,1,1.14.042
Verstappen,49,1,1.12.833
Verstappen,50,1,1.12.839
Verstappen,51,1,1.12.668
Verstappen,52,1,1.12.774
Verstappen,53,1,1.12.686
Verstappen,54,1,1.12.502
Verstappen,55,1,1.12.491
Verstappen,56,1,1.12.552
Verstappen,57,1,1.12.747
Verstappen,58,1,1.13.414
Verstappen,59,2,1.14.068
Verstappen,60,2,1.13.334
Verstappen,61,2,1.13.365
Verstappen,62,2,1.13.796
Verstappen,63,2,1.13.482
Verstappen,64,2,1.13.837
Verstappen,65,2,1.13.659
Verstappen,66,2,1.14.285
Verstappen,67,2,1.13.958
