driver,lap,position,time
Hamilton,1,1,1.44.859
Hamilton,2,1,1.39.625
Hamilton,3,1,1.39.776
Hamilton,4,1,1.39.692
Hamilton,5,1,1.39.549
Hamilton,6,1,1.38.787
Hamilton,7,1,1.39.204
Hamilton,8,1,1.38.763
Hamilton,9,1,1.39.268
Hamilton,10,1,1.38.778
Hamilton,11,1,1.38.977
Hamilton,12,1,1.39.432
Hamilton,13,1,1.38.929
Hamilton,14,1,1.39.160
Hamilton,15,1,1.39.511
Hamilton,16,1,1.39.395
Hamilton,17,1,1.38.926
Hamilton,18,1,1.39.035
Hamilton,19,2,1.58.684
Hamilton,20,3,1.41.873
Hamilton,21,3,1.37.480
Hamilton,22,3,1.37.551
Hamilton,23,3,1.37.702
Hamilton,24,2,1.37.786
Hamilton,25,2,1.37.947
Hamilton,26,2,1.37.905
Hamilton,27,2,1.37.979
Hamilton,28,2,1.37.712
Hamilton,29,2,1.38.457
Hamilton,30,2,1.38.226
Hamilton,31,2,1.38.503
Hamilton,32,1,1.38.392
Hamilton,33,1,1.38.429
Hamilton,34,1,1.38.666
Hamilton,35,1,1.38.411
Hamilton,36,1,1.38.565
Hamilton,37,1,1.39.137
Hamilton,38,1,1.37.650
Hamilton,39,1,1.37.458
Hamilton,40,1,1.38.182
Hamilton,41,1,1.37.685
Hamilton,42,1,1.37.818
Hamilton,43,1,1.37.640
Hamilton,44,1,1.37.410
Hamilton,45,1,1.37.542
Hamilton,46,1,1.37.545
Hamilton,47,1,1.38.431
Hamilton,48,1,1.38.089
Hamilton,49,1,1.38.189
Hamilton,50,1,1.37.946
Hamilton,51,1,1.38.242
Hamilton,52,2,1.38.735
Hamilton,53,2,1.39.041
Verstappen,1,2,1.46.339
Verstappen,2,2,1.39.613
Verstappen,3,2,1.39.571
Verstappen,4,2,1.40.024
Verstappen,5,2,1.39.408
Verstappen,6,2,1.38.727
Verstappen,7,2,1.39.430
Verstappen,8,2,1.39.059
Verstappen,9,2,1.39.122
Verstappen,10,2,1.38.950
Verstappen,11,2,1.39.214
Verstappen,12,2,1.39.307
Verstappen,13,2,1.39.214
Verstappen,14,2,1.39.015
Verstappen,15,2,1.40.297
Verstappen,16,2,1.39.199
Verstappen,17,2,1.39.246
Verstappen,18,3,1.58.099
Verstappen,19,3,1.39.966
Verstappen,20,2,1.37.776
Verstappen,21,2,1.37.516
Verstappen,22,2,1.37.052
Verstappen,23,2,1.38.086
Verstappen,24,1,1.37.915
Verstappen,25,1,1.37.706
Verstappen,26,1,1.38.278
Verstappen,27,1,1.37.727
Verstappen,28,1,1.37.657
Verstappen,29,1,1.38.040
Verstappen,30,1,1.37.833
Verstappen,31,1,1.37.844
Verstappen,32,4,1.56.764
Verstappen,33,4,1.40.458
Verstappen,34,4,1.36.743
Verstappen,35,3,1.36.404
Verstappen,36,3,1.36.579
Verstappen,37,3,1.36.582
Verstappen,38,3,1.36.863
Verstappen,39,3,1.36.973
Verstappen,40,3,1.37.033
Verstappen,41,3,1.37.081
Verstappen,42,3,1.36.849
Verstappen,43,3,1.37.092
Verstappen,44,2,1.37.450
Verstappen,45,2,1.37.129
Verstappen,46,2,1.37.558
Verstappen,47,2,1.37.627
Verstappen,48,2,1.37.459
Verstappen,49,2,1.37.430
Verstappen,50,2,1.36.968
Verstappen,51,2,1.37.413
Verstappen,52,1,1.36.942
Verstappen,53,1,1.37.143
Bottas,1,3,1.46.833
Bottas,2,3,1.40.188
Bottas,3,3,1.39.822
Bottas,4,3,1.39.889
Bottas,5,3,1.39.293
Bottas,6,3,1.38.604
Bottas,7,3,1.39.510
Bottas,8,3,1.39.229
Bottas,9,3,1.39.264
Bottas,10,3,1.39.018
Bottas,11,3,1.39.290
Bottas,12,3,1.40.266
Bottas,13,3,1.39.473
Bottas,14,3,1.39.406
Bottas,15,3,1.39.864
Bottas,16,3,1.39.239
Bottas,17,4,1.59.129
Bottas,18,4,1.40.235
Bottas,19,4,1.36.960
Bottas,20,4,1.37.488
Bottas,21,4,1.37.514
Bottas,22,4,1.37.377
Bottas,23,4,1.37.922
Bottas,24,3,1.37.642
Bottas,25,3,1.37.799
Bottas,26,3,1.39.013
Bottas,27,3,1.38.071
Bottas,28,3,1.38.291
Bottas,29,3,1.38.629
Bottas,30,3,1.38.713
Bottas,31,3,1.38.982
Bottas,32,2,1.38.831
Bottas,33,2,1.38.346
Bottas,34,2,1.37.702
Bottas,35,2,1.38.392
Bottas,36,2,1.38.111
Bottas,37,2,1.38.188
Bottas,38,2,1.37.862
Bottas,39,2,1.38.016
Bottas,40,2,1.38.738
Bottas,41,2,1.38.724
Bottas,42,2,1.38.247
Bottas,43,2,1.37.612
Bottas,44,3,1.39.479
Bottas,45,3,1.39.073
Bottas,46,3,1.38.719
Bottas,47,3,1.37.695
Bottas,48,3,1.38.768
Bottas,49,4,1.41.084
Bottas,50,4,1.39.226
Bottas,51,4,1.38.322
Bottas,52,4,1.38.440
Bottas,53,4,1.37.860
Perez,1,4,1.48.257
Perez,2,4,1.40.612
Perez,3,4,1.40.549
Perez,4,4,1.40.419
Perez,5,4,1.39.998
Perez,6,4,1.39.240
Perez,7,4,1.39.665
Perez,8,4,1.39.072
Perez,9,4,1.39.305
Perez,10,4,1.39.151
Perez,11,4,1.39.303
Perez,12,4,1.39.318
Perez,13,4,1.39.189
Perez,14,4,1.39.370
Perez,15,4,1.40.487
Perez,16,4,1.39.773
Perez,17,3,1.39.364
Perez,18,2,1.39.338
Perez,19,1,1.39.149
Perez,20,1,1.39.520
Perez,21,1,1.39.310
Perez,22,1,1.39.698
Perez,23,1,1.39.100
Perez,24,4,1.58.410
Perez,25,4,1.41.545
Perez,26,4,1.37.404
Perez,27,4,1.37.229
Perez,28,4,1.37.674
Perez,29,4,1.38.056
Perez,30,4,1.37.917
Perez,31,4,1.38.280
Perez,32,3,1.37.801
Perez,33,3,1.38.075
Perez,34,3,1.37.827
Perez,35,4,1.39.396
Perez,36,4,1.37.886
Perez,37,4,1.37.395
Perez,38,4,1.37.154
Perez,39,4,1.37.239
Perez,40,4,1.37.355
Perez,41,4,1.37.351
Perez,42,4,1.37.332
Perez,43,4,1.37.129
Perez,44,4,1.37.161
Perez,45,4,1.37.111
Perez,46,4,1.37.876
Perez,47,4,1.38.172
Perez,48,4,1.38.220
Perez,49,3,1.39.640
Perez,50,3,1.37.578
Perez,51,3,1.37.363
Perez,52,3,1.37.125
Perez,53,3,1.36.693
Leclerc,1,7,1.50.607
Leclerc,2,7,1.41.749
Leclerc,3,7,1.40.847
Leclerc,4,7,1.41.116
Leclerc,5,7,1.40.393
Leclerc,6,7,1.40.017
Leclerc,7,7,1.40.773
Leclerc,8,7,1.41.148
Leclerc,9,7,1.40.515
Leclerc,10,7,1.40.735
Leclerc,11,7,1.41.078
Leclerc,12,7,1.41.217
Leclerc,13,7,1.41.278
Leclerc,14,18,2.02.349
Leclerc,15,17,1.42.242
Leclerc,16,17,1.39.038
Leclerc,17,14,1.39.286
Leclerc,18,11,1.39.511
Leclerc,19,11,1.39.538
Leclerc,20,11,1.39.771
Leclerc,21,11,1.40.259
Leclerc,22,10,1.40.024
Leclerc,23,10,1.40.061
Leclerc,24,8,1.40.147
Leclerc,25,8,1.40.324
Leclerc,26,7,1.40.997
Leclerc,27,7,1.40.458
Leclerc,28,8,1.41.931
Leclerc,29,10,1.42.017
Leclerc,30,11,1.42.483
Leclerc,31,12,1.41.553
Leclerc,32,12,1.40.960
Leclerc,33,12,1.40.012
Leclerc,34,11,1.39.967
Leclerc,35,11,1.40.273
Leclerc,36,11,1.39.358
Leclerc,37,10,1.39.526
Leclerc,38,16,1.59.965
Leclerc,39,16,1.41.981
Leclerc,40,16,1.37.947
Leclerc,41,16,1.37.796
Leclerc,42,16,1.37.898
Leclerc,43,16,1.37.681
Leclerc,44,16,1.38.246
Leclerc,45,16,1.41.125
Leclerc,46,16,1.39.088
Leclerc,47,16,1.43.009
Leclerc,48,16,1.39.585
Leclerc,49,16,1.39.825
Leclerc,50,16,1.40.328
Leclerc,51,16,1.39.142
Leclerc,52,16,1.39.470
