driver,lap,position,time
Hamilton,1,1,1.58.069
Hamilton,2,1,2.49.020
Hamilton,3,13,null
Hamilton,4,1,1.49.712
Hamilton,5,14,1.43.232
Hamilton,6,14,1.23.637
Hamilton,7,14,1.25.597
Hamilton,8,14,1.25.736
Hamilton,9,14,1.25.710
Hamilton,10,13,1.24.966
Hamilton,11,13,1.25.237
Hamilton,12,13,1.25.421
Hamilton,13,13,1.25.255
Hamilton,14,13,1.26.772
Hamilton,15,13,1.25.614
Hamilton,16,11,1.23.219
Hamilton,17,11,1.23.432
Hamilton,18,11,1.23.596
Hamilton,19,11,1.26.667
Hamilton,20,12,1.39.467
Hamilton,21,10,1.21.531
Hamilton,22,9,1.21.076
Hamilton,23,9,1.24.186
Hamilton,24,8,1.20.609
Hamilton,25,8,1.21.223
Hamilton,26,8,1.22.812
Hamilton,27,7,1.21.534
Hamilton,28,7,1.22.594
Hamilton,29,7,1.23.111
Hamilton,30,7,1.23.091
Hamilton,31,6,1.22.977
Hamilton,32,5,1.21.596
Hamilton,33,5,1.21.422
Hamilton,34,5,1.21.237
Hamilton,35,5,1.21.494
Hamilton,36,5,1.21.174
Hamilton,37,5,1.21.584
Hamilton,38,5,1.22.101
Hamilton,39,5,1.21.649
Hamilton,40,4,1.21.439
Hamilton,41,4,1.21.612
Hamilton,42,4,1.21.509
Hamilton,43,4,1.21.628
Hamilton,44,4,1.21.733
Hamilton,45,4,1.22.307
Hamilton,46,4,1.21.954
Hamilton,47,4,1.24.232
Hamilton,48,5,1.36.937
Hamilton,49,5,1.18.715
Hamilton,50,5,1.19.028
Hamilton,51,5,1.19.104
Hamilton,52,5,1.19.652
Hamilton,53,5,1.20.344
Hamilton,54,5,1.20.550
Hamilton,55,5,1.22.538
Hamilton,56,5,1.21.155
Hamilton,57,5,1.22.207
Hamilton,58,5,1.21.301
Hamilton,59,5,1.21.316
Hamilton,60,5,1.21.725
Hamilton,61,5,1.21.755
Hamilton,62,5,1.21.386
Hamilton,63,5,1.22.570
Hamilton,64,5,1.21.687
Hamilton,65,4,1.20.809
Hamilton,66,4,1.22.950
Hamilton,67,3,1.20.479
Hamilton,68,3,1.19.306
Hamilton,69,3,1.19.663
Hamilton,70,3,1.20.111
Verstappen,1,9,2.10.591
Verstappen,2,13,3.14.104
Verstappen,3,12,null
Verstappen,4,12,2.00.218
Verstappen,5,11,1.27.173
Verstappen,6,11,1.26.414
Verstappen,7,11,1.26.066
Verstappen,8,11,1.25.854
Verstappen,9,11,1.25.907
Verstappen,10,11,1.25.806
Verstappen,11,11,1.25.387
Verstappen,12,11,1.25.469
Verstappen,13,11,1.25.143
Verstappen,14,10,1.25.041
Verstappen,15,10,1.24.479
Verstappen,16,9,1.23.832
Verstappen,17,9,1.24.135
Verstappen,18,9,1.24.271
Verstappen,19,9,1.24.322
Verstappen,20,10,1.27.006
Verstappen,21,12,1.41.531
Verstappen,22,12,1.24.133
Verstappen,23,12,1.23.545
Verstappen,24,12,1.23.739
Verstappen,25,12,1.24.010
Verstappen,26,12,1.23.994
Verstappen,27,12,1.24.414
Verstappen,28,12,1.24.528
Verstappen,29,12,1.24.905
Verstappen,30,12,1.24.734
Verstappen,31,12,1.24.517
Verstappen,32,12,1.24.627
Verstappen,33,12,1.25.479
Verstappen,34,11,1.23.926
Verstappen,35,11,1.23.255
Verstappen,36,11,1.22.764
Verstappen,37,11,1.23.477
Verstappen,38,11,1.23.151
Verstappen,39,11,1.23.130
Verstappen,40,11,1.25.176
Verstappen,41,12,1.38.489
Verstappen,42,12,1.21.014
Verstappen,43,12,1.20.945
Verstappen,44,12,1.21.164
Verstappen,45,12,1.21.518
Verstappen,46,12,1.21.354
Verstappen,47,12,1.21.215
Verstappen,48,12,1.21.506
Verstappen,49,12,1.22.612
Verstappen,50,11,1.22.064
Verstappen,51,11,1.22.845
Verstappen,52,11,1.23.249
Verstappen,53,11,1.23.190
Verstappen,54,11,1.23.203
Verstappen,55,11,1.23.043
Verstappen,56,11,1.23.046
Verstappen,57,11,1.22.904
Verstappen,58,11,1.23.060
Verstappen,59,11,1.22.730
Verstappen,60,10,1.21.430
Verstappen,61,10,1.21.492
Verstappen,62,10,1.21.869
Verstappen,63,10,1.22.048
Verstappen,64,10,1.22.273
Verstappen,65,10,1.22.299
Verstappen,66,10,1.22.242
Verstappen,67,10,1.22.524
Verstappen,68,10,1.22.826
Verstappen,69,10,1.22.646
Verstappen,70,10,1.23.261
