driver,lap,position,time
Verstappen,1,1,1.38.603
Verstappen,2,1,2.29.163
Verstappen,3,1,2.23.247
Verstappen,4,1,2.20.332
Verstappen,5,1,2.25.691
Verstappen,6,1,2.20.804
Verstappen,7,1,1.36.303
Verstappen,8,1,1.32.925
Verstappen,9,1,1.30.953
Verstappen,10,1,1.30.130
Verstappen,11,1,1.29.168
Verstappen,12,1,1.28.814
Verstappen,13,1,1.28.119
Verstappen,14,1,1.27.740
Verstappen,15,1,1.27.059
Verstappen,16,1,1.26.597
Verstappen,17,1,1.26.605
Verstappen,18,1,1.27.002
Verstappen,19,1,1.27.068
Verstappen,20,1,1.27.097
Verstappen,21,1,1.28.626
Verstappen,22,1,1.28.257
Verstappen,23,1,1.29.532
Verstappen,24,1,1.29.794
Verstappen,25,1,1.28.967
Verstappen,26,1,1.28.182
Verstappen,27,2,1.31.736
Verstappen,28,3,1.51.252
Verstappen,29,1,1.24.169
Verstappen,30,1,1.26.433
Verstappen,31,1,1.22.954
Verstappen,32,1,1.44.215
Verstappen,33,1,2.24.051
Verstappen,34,1,null
Verstappen,35,1,1.23.743
Verstappen,36,1,1.21.006
Verstappen,37,1,1.20.353
Verstappen,38,1,1.19.726
Verstappen,39,1,1.19.579
Verstappen,40,1,1.18.935
Verstappen,41,1,1.18.786
Verstappen,42,1,1.18.680
Verstappen,43,1,1.18.529
Verstappen,44,1,1.18.403
Verstappen,45,1,1.18.284
Verstappen,46,1,1.18.011
Verstappen,47,1,1.18.161
Verstappen,48,1,1.18.087
Verstappen,49,1,1.18.171
Verstappen,50,1,1.18.576
Verstappen,51,1,1.18.158
Verstappen,52,1,1.17.963
Verstappen,53,1,1.17.937
Verstappen,54,1,1.17.766
Verstappen,55,1,1.17.803
Verstappen,56,1,1.17.909
Verstappen,57,1,1.18.396
Verstappen,58,1,1.18.032
Verstappen,59,1,1.17.993
Verstappen,60,1,1.17.524
Verstappen,61,1,1.18.261
Verstappen,62,1,1.17.526
Verstappen,63,1,1.17.972
Hamilton,1,2,1.42.572
Hamilton,2,2,2.28.397
Hamilton,3,2,2.21.831
Hamilton,4,2,2.21.660
Hamilton,5,2,2.25.146
Hamilton,6,2,2.18.618
Hamilton,7,2,1.39.225
Hamilton,8,2,1.34.591
Hamilton,9,2,1.31.302
Hamilton,10,2,1.30.100
Hamilton,11,2,1.28.724
Hamilton,12,2,1.28.592
Hamilton,13,2,1.28.250
Hamilton,14,2,1.28.029
Hamilton,15,2,1.27.072
Hamilton,16,2,1.26.578
Hamilton,17,2,1.27.501
Hamilton,18,2,1.26.640
Hamilton,19,2,1.27.021
Hamilton,20,2,1.26.959
Hamilton,21,2,1.28.283
Hamilton,22,2,1.29.277
Hamilton,23,2,1.28.421
Hamilton,24,2,1.28.139
Hamilton,25,2,1.28.842
Hamilton,26,2,1.27.073
Hamilton,27,1,1.26.959
Hamilton,28,1,1.30.425
Hamilton,29,2,1.53.281
Hamilton,30,2,1.23.138
Hamilton,31,7,2.47.042
Hamilton,32,9,2.47.378
Hamilton,33,9,null
Hamilton,34,8,null
Hamilton,35,8,1.28.464
Hamilton,36,8,1.23.218
Hamilton,37,8,1.20.972
Hamilton,38,7,1.21.444
Hamilton,39,6,1.19.479
Hamilton,40,6,1.19.303
Hamilton,41,6,1.19.206
Hamilton,42,5,1.18.332
Hamilton,43,5,1.18.648
Hamilton,44,5,1.18.615
Hamilton,45,5,1.18.716
Hamilton,46,5,1.18.406
Hamilton,47,5,1.18.538
Hamilton,48,5,1.18.868
Hamilton,49,5,1.19.154
Hamilton,50,4,1.17.858
Hamilton,51,4,1.18.512
Hamilton,52,4,1.19.001
Hamilton,53,4,1.18.805
Hamilton,54,4,1.19.206
Hamilton,55,3,1.17.950
Hamilton,56,3,1.18.505
Hamilton,57,3,1.18.622
Hamilton,58,3,1.18.957
Hamilton,59,3,1.18.534
Hamilton,60,2,1.16.702
Hamilton,61,2,1.18.824
Hamilton,62,2,1.18.787
Hamilton,63,2,1.18.038
Leclerc,1,3,1.47.198
Leclerc,2,3,2.25.323
Leclerc,3,3,2.21.062
Leclerc,4,3,2.22.840
Leclerc,5,3,2.25.489
Leclerc,6,3,2.16.873
Leclerc,7,3,1.39.585
Leclerc,8,3,1.34.848
Leclerc,9,3,1.32.511
Leclerc,10,3,1.31.679
Leclerc,11,3,1.30.706
Leclerc,12,3,1.30.268
Leclerc,13,3,1.29.440
Leclerc,14,3,1.29.089
Leclerc,15,3,1.28.806
Leclerc,16,3,1.29.571
Leclerc,17,3,1.28.137
Leclerc,18,3,1.27.540
Leclerc,19,3,1.28.092
Leclerc,20,3,1.28.526
Leclerc,21,3,1.27.624
Leclerc,22,3,1.27.050
Leclerc,23,3,1.27.210
Leclerc,24,3,1.26.790
Leclerc,25,3,1.28.310
Leclerc,26,3,1.28.054
Leclerc,27,3,1.27.537
Leclerc,28,2,1.32.467
Leclerc,29,3,1.53.853
Leclerc,30,3,1.24.319
Leclerc,31,2,1.24.395
Leclerc,32,2,1.51.855
Leclerc,33,2,2.11.844
Leclerc,34,2,null
Leclerc,35,3,1.25.394
Leclerc,36,3,1.21.509
Leclerc,37,3,1.20.807
Leclerc,38,3,1.20.439
Leclerc,39,3,1.20.430
Leclerc,40,3,1.19.512
Leclerc,41,3,1.19.561
Leclerc,42,3,1.19.446
Leclerc,43,3,1.19.399
Leclerc,44,3,1.19.237
Leclerc,45,3,1.19.219
Leclerc,46,3,1.19.370
Leclerc,47,3,1.18.938
Leclerc,48,3,1.19.145
Leclerc,49,3,1.19.025
Leclerc,50,3,1.18.818
Leclerc,51,3,1.18.784
Leclerc,52,3,1.19.094
Leclerc,53,3,1.18.739
Leclerc,54,3,1.19.310
Leclerc,55,4,1.20.016
Leclerc,56,4,1.18.970
Leclerc,57,4,1.18.622
Leclerc,58,4,1.18.676
Leclerc,59,4,1.18.689
Leclerc,60,4,1.18.379
Leclerc,61,4,1.18.575
Leclerc,62,4,1.18.461
Leclerc,63,4,1.18.624
Perez,1,4,1.47.814
Perez,2,4,2.26.227
Perez,3,4,2.20.741
Perez,4,4,2.22.893
Perez,5,4,2.25.257
Perez,6,4,2.16.344
Perez,7,4,1.42.175
Perez,8,4,1.37.922
Perez,9,4,1.34.397
Perez,10,4,1.33.119
Perez,11,4,1.31.563
Perez,12,4,1.30.344
Perez,13,4,1.29.Bottas
Perez,14,4,1.29.415
Perez,15,4,1.28.659
Perez,16,4,1.27.923
Perez,17,4,1.27.448
Perez,18,4,1.28.179
Perez,19,4,1.26.933
Perez,20,4,1.26.456
Perez,21,4,1.27.667
Perez,22,4,1.27.185
Perez,23,4,1.28.433
Perez,24,4,1.30.617
Perez,25,4,1.30.301
Perez,26,4,1.29.147
Perez,27,4,1.27.715
Perez,28,4,1.32.716
Perez,29,5,2.07.522
Perez,30,5,1.24.005
Perez,31,4,1.32.634
Perez,32,4,2.10.043
Perez,33,4,1.58.705
Perez,34,4,null
Perez,35,4,1.25.696
Perez,36,4,1.21.538
Perez,37,4,1.20.627
Perez,38,14,1.42.738
Perez,39,14,1.21.377
Perez,40,14,1.19.642
Perez,41,13,1.19.909
Perez,42,13,1.19.600
Perez,43,13,1.19.106
Perez,44,13,1.20.542
Perez,45,13,1.21.263
Perez,46,13,1.20.629
Perez,47,13,1.22.119
Perez,48,12,1.18.924
Perez,49,12,1.18.334
Perez,50,12,1.18.386
Perez,51,12,1.18.343
Perez,52,12,1.19.646
Perez,53,12,1.20.264
Perez,54,12,1.20.119
Perez,55,12,1.20.047
Perez,56,12,1.19.805
Perez,57,12,1.19.636
Perez,58,12,1.19.584
Perez,59,12,1.19.836
Perez,60,12,1.20.036
Perez,61,12,1.19.445
Perez,62,12,1.19.419
Perez,63,12,1.19.672
Bottas,1,10,2.00.892
Bottas,2,10,2.22.900
Bottas,3,10,2.20.725
Bottas,4,10,2.25.912
Bottas,5,10,2.23.930
Bottas,6,10,2.07.949
Bottas,7,10,1.44.829
Bottas,8,10,1.41.601
Bottas,9,10,1.37.303
Bottas,10,10,1.37.736
Bottas,11,10,1.37.553
Bottas,12,9,1.32.386
Bottas,13,9,1.31.538
Bottas,14,9,1.31.124
Bottas,15,9,1.30.774
Bottas,16,9,1.29.260
Bottas,17,9,1.29.446
Bottas,18,9,1.29.931
Bottas,19,9,1.28.844
Bottas,20,9,1.28.511
Bottas,21,9,1.28.778
Bottas,22,9,1.30.124
Bottas,23,9,1.30.068
Bottas,24,9,1.30.479
Bottas,25,9,1.30.295
Bottas,26,9,1.29.615
Bottas,27,8,1.28.984
Bottas,28,6,1.33.667
Bottas,29,8,1.55.306
Bottas,30,9,1.28.485
