driver,lap,position,time
Hamilton,1,1,1.35.234
Hamilton,2,1,1.34.020
Hamilton,3,1,1.33.782
Hamilton,4,1,1.33.792
Hamilton,5,1,1.33.397
Hamilton,6,1,1.33.260
Hamilton,7,1,1.33.720
Hamilton,8,1,1.33.214
Hamilton,9,1,1.33.150
Hamilton,10,1,2.02.043
Hamilton,11,2,3.00.569
Hamilton,12,2,2.48.065
Hamilton,13,2,2.55.505
Hamilton,14,2,null
Hamilton,15,3,3.34.902
Hamilton,16,2,null
Hamilton,17,3,2.37.547
Hamilton,18,2,1.33.056
Hamilton,19,2,1.32.974
Hamilton,20,2,1.32.532
Hamilton,21,2,1.32.130
Hamilton,22,2,1.32.674
Hamilton,23,2,1.40.670
Hamilton,24,2,1.56.641
Hamilton,25,2,1.31.502
Hamilton,26,2,1.31.809
Hamilton,27,2,1.32.669
Hamilton,28,2,1.44.229
Hamilton,29,2,1.43.184
Hamilton,30,2,2.07.028
Hamilton,31,2,2.07.402
Hamilton,32,2,2.06.321
Hamilton,33,2,1.37.237
Hamilton,34,2,1.31.411
Hamilton,35,2,1.31.199
Hamilton,36,2,1.43.095
Hamilton,37,2,1.37.056
Hamilton,38,2,1.32.069
Hamilton,39,2,1.31.549
Hamilton,40,2,1.31.536
Hamilton,41,2,1.31.089
Hamilton,42,2,1.31.964
Hamilton,43,1,1.31.896
Hamilton,44,1,1.31.338
Hamilton,45,1,1.30.854
Hamilton,46,1,1.31.610
Hamilton,47,1,1.30.734
Hamilton,48,1,1.31.588
Hamilton,49,1,1.33.707
Hamilton,50,1,1.35.604
Bottas,1,2,1.36.272
Bottas,2,2,1.34.048
Bottas,3,2,1.34.138
Bottas,4,2,1.33.585
Bottas,5,2,1.33.676
Bottas,6,2,1.33.465
Bottas,7,2,1.33.639
Bottas,8,2,1.33.655
Bottas,9,2,1.33.701
Bottas,10,3,2.07.440
Bottas,11,3,2.53.975
Bottas,12,3,2.47.772
Bottas,13,3,2.56.937
Bottas,14,3,null
Bottas,15,5,3.38.147
