driver,lap,position,time
Verstappen,1,1,1.44.815
Verstappen,2,1,2.11.572
Verstappen,3,1,2.06.284
Verstappen,4,1,2.07.504
Verstappen,5,1,1.21.615
Verstappen,6,1,1.21.635
Verstappen,7,1,1.21.622
Verstappen,8,1,1.21.520
Verstappen,9,1,1.21.051
Verstappen,10,1,1.21.144
Verstappen,11,1,1.20.958
Verstappen,12,1,1.21.014
Verstappen,13,1,1.21.209
Verstappen,14,1,1.21.158
Verstappen,15,1,1.21.100
Verstappen,16,1,1.21.026
Verstappen,17,1,1.21.447
Verstappen,18,1,1.21.600
Verstappen,19,1,1.20.685
Verstappen,20,1,1.21.126
Verstappen,21,1,1.21.231
Verstappen,22,1,1.21.316
Verstappen,23,1,1.21.417
Verstappen,24,1,1.21.759
Verstappen,25,1,1.21.457
Verstappen,26,1,1.21.491
Verstappen,27,1,1.21.267
Verstappen,28,1,1.21.203
Verstappen,29,1,1.21.029
Verstappen,30,1,1.21.328
Verstappen,31,1,1.21.981
Verstappen,32,1,1.21.223
Verstappen,33,1,1.24.863
Verstappen,34,2,1.38.828
Verstappen,35,2,1.21.003
Verstappen,36,2,1.20.266
Verstappen,37,2,1.20.261
Verstappen,38,2,1.20.083
Verstappen,39,2,1.20.340
Verstappen,40,1,1.20.200
Verstappen,41,1,1.20.069
Verstappen,42,1,1.20.025
Verstappen,43,1,1.19.989
Verstappen,44,1,1.20.356
Verstappen,45,1,1.19.846
Verstappen,46,1,1.20.180
Verstappen,47,1,1.20.211
Verstappen,48,1,1.20.557
Verstappen,49,1,1.19.921
Verstappen,50,1,1.20.877
Verstappen,51,1,1.20.406
Verstappen,52,1,1.18.999
Verstappen,53,1,1.20.231
Verstappen,54,1,1.20.045
Verstappen,55,1,1.20.078
Verstappen,56,1,1.19.988
Verstappen,57,1,1.20.039
Verstappen,58,1,1.19.839
Verstappen,59,1,1.20.249
Verstappen,60,1,1.20.413
Verstappen,61,1,1.20.287
Verstappen,62,1,1.20.340
Verstappen,63,1,1.19.825
Verstappen,64,1,1.19.704
Verstappen,65,1,1.19.210
Verstappen,66,1,1.20.303
Verstappen,67,1,1.23.083
Verstappen,68,1,1.21.109
Verstappen,69,1,1.19.360
Verstappen,70,1,1.20.414
Verstappen,71,1,1.20.502
Hamilton,1,2,1.46.593
Hamilton,2,2,2.11.403
Hamilton,3,2,2.06.513
Hamilton,4,2,2.06.587
Hamilton,5,2,1.22.545
Hamilton,6,2,1.22.254
Hamilton,7,2,1.21.947
Hamilton,8,2,1.21.735
Hamilton,9,2,1.21.520
Hamilton,10,2,1.21.105
Hamilton,11,2,1.21.141
Hamilton,12,2,1.21.261
Hamilton,13,2,1.21.985
Hamilton,14,2,1.21.981
Hamilton,15,2,1.21.575
Hamilton,16,2,1.21.526
Hamilton,17,2,1.21.274
Hamilton,18,2,1.21.203
Hamilton,19,2,1.21.619
Hamilton,20,2,1.22.030
Hamilton,21,2,1.21.387
Hamilton,22,2,1.21.930
Hamilton,23,2,1.21.627
Hamilton,24,2,1.21.398
Hamilton,25,2,1.21.430
Hamilton,26,2,1.21.846
Hamilton,27,2,1.21.394
Hamilton,28,2,1.21.595
Hamilton,29,3,1.25.054
Hamilton,30,4,1.41.412
Hamilton,31,3,1.19.953
Hamilton,32,3,1.20.218
Hamilton,33,3,1.20.456
Hamilton,34,3,1.20.526
Hamilton,35,3,1.20.527
Hamilton,36,3,1.20.312
Hamilton,37,3,1.20.542
Hamilton,38,3,1.21.570
Hamilton,39,3,1.20.944
Hamilton,40,3,1.20.209
Hamilton,41,2,1.20.378
Hamilton,42,2,1.20.412
Hamilton,43,2,1.20.209
Hamilton,44,2,1.20.965
Hamilton,45,2,1.19.834
Hamilton,46,2,1.20.683
Hamilton,47,2,1.20.970
Hamilton,48,2,1.20.419
Hamilton,49,2,1.20.672
Hamilton,50,2,1.20.461
Hamilton,51,2,1.20.111
Hamilton,52,2,1.20.224
Hamilton,53,2,1.20.130
Hamilton,54,2,1.20.628
Hamilton,55,2,1.20.281
Hamilton,56,2,1.20.577
Hamilton,57,2,1.21.141
Hamilton,58,2,1.20.427
Hamilton,59,2,1.20.727
Hamilton,60,2,1.20.749
Hamilton,61,2,1.20.961
Hamilton,62,2,1.20.220
Hamilton,63,2,1.19.981
Hamilton,64,2,1.20.330
Hamilton,65,2,1.20.320
Hamilton,66,2,1.19.820
Hamilton,67,2,1.20.127
Hamilton,68,2,1.20.430
Hamilton,69,2,1.20.236
Hamilton,70,2,1.20.319
Hamilton,71,2,1.20.772
Perez,1,3,1.47.610
Perez,2,3,2.11.575
Perez,3,3,2.06.355
Perez,4,3,2.06.308
Perez,5,3,1.23.185
Perez,6,3,1.22.356
Perez,7,3,1.22.330
Perez,8,3,1.21.954
Perez,9,3,1.21.766
Perez,10,3,1.21.687
Perez,11,3,1.21.389
Perez,12,3,1.21.464
Perez,13,3,1.21.520
Perez,14,3,1.21.457
Perez,15,3,1.21.173
Perez,16,3,1.21.393
Perez,17,3,1.21.652
Perez,18,3,1.21.260
Perez,19,3,1.21.380
Perez,20,3,1.21.765
Perez,21,3,1.21.758
Perez,22,3,1.22.017
Perez,23,3,1.21.482
Perez,24,3,1.21.783
Perez,25,3,1.21.359
Perez,26,3,1.21.409
Perez,27,3,1.21.170
Perez,28,3,1.21.420
Perez,29,2,1.22.118
Perez,30,2,1.21.841
Perez,31,2,1.22.092
Perez,32,2,1.21.858
Perez,33,2,1.21.196
Perez,34,1,1.21.152
Perez,35,1,1.20.890
Perez,36,1,1.21.068
Perez,37,1,1.20.761
Perez,38,1,1.21.541
Perez,39,1,1.21.786
Perez,40,2,1.24.496
Perez,41,3,1.39.305
Perez,42,3,1.19.659
Perez,43,3,1.20.152
Perez,44,3,1.19.712
Perez,45,3,1.19.840
Perez,46,3,1.19.949
Perez,47,3,1.21.324
Perez,48,3,1.20.552
Perez,49,3,1.19.468
Perez,50,3,1.20.188
Perez,51,3,1.19.675
Perez,52,3,1.19.890
Perez,53,3,1.19.686
Perez,54,3,1.19.882
Perez,55,3,1.19.643
Perez,56,3,1.19.960
Perez,57,3,1.20.309
Perez,58,3,1.20.151
Perez,59,3,1.20.398
Perez,60,3,1.20.406
Perez,61,3,1.20.878
Perez,62,3,1.20.536
Perez,63,3,1.20.091
Perez,64,3,1.20.395
Perez,65,3,1.21.119
Perez,66,3,1.19.936
Perez,67,3,1.19.890
Perez,68,3,1.19.889
Perez,69,3,1.19.846
Perez,70,3,1.20.183
Perez,71,3,1.21.150
Leclerc,1,5,1.50.713
Leclerc,2,5,2.13.504
Leclerc,3,5,2.04.991
Leclerc,4,5,2.03.704
Leclerc,5,5,1.24.225
Leclerc,6,5,1.23.510
Leclerc,7,5,1.23.144
Leclerc,8,5,1.23.369
Leclerc,9,5,1.22.526
Leclerc,10,5,1.22.402
Leclerc,11,5,1.22.200
Leclerc,12,5,1.22.288
Leclerc,13,5,1.22.502
Leclerc,14,5,1.22.383
Leclerc,15,5,1.22.029
Leclerc,16,5,1.22.187
Leclerc,17,5,1.22.077
Leclerc,18,5,1.22.212
Leclerc,19,5,1.22.280
Leclerc,20,5,1.22.193
Leclerc,21,5,1.22.147
Leclerc,22,5,1.21.994
Leclerc,23,5,1.22.143
Leclerc,24,5,1.22.314
Leclerc,25,5,1.22.655
Leclerc,26,5,1.22.426
Leclerc,27,5,1.21.903
Leclerc,28,5,1.21.884
Leclerc,29,5,1.21.941
Leclerc,30,6,1.25.742
Leclerc,31,9,1.40.475
Leclerc,32,8,1.21.048
Leclerc,33,7,1.21.269
Leclerc,34,6,1.21.116
Leclerc,35,6,1.21.263
Leclerc,36,6,1.21.188
Leclerc,37,6,1.21.970
Leclerc,38,6,1.21.571
Leclerc,39,6,1.21.405
Leclerc,40,6,1.21.373
Leclerc,41,6,1.21.043
Leclerc,42,6,1.21.301
Leclerc,43,5,1.21.071
Leclerc,44,5,1.21.730
Leclerc,45,5,1.21.448
Leclerc,46,5,1.21.595
Leclerc,47,5,1.21.613
Leclerc,48,5,1.22.013
Leclerc,49,5,1.21.627
Leclerc,50,5,1.21.918
Leclerc,51,5,1.21.508
Leclerc,52,5,1.22.030
Leclerc,53,5,1.22.188
Leclerc,54,5,1.22.025
Leclerc,55,5,1.21.215
Leclerc,56,5,1.21.612
Leclerc,57,6,1.23.770
Leclerc,58,6,1.21.404
Leclerc,59,6,1.21.278
Leclerc,60,6,1.21.342
Leclerc,61,6,1.21.689
Leclerc,62,6,1.20.936
Leclerc,63,6,1.20.665
Leclerc,64,6,1.21.098
Leclerc,65,6,1.21.196
Leclerc,66,6,1.21.193
Leclerc,67,6,1.21.035
Leclerc,68,6,1.21.111
Leclerc,69,5,1.21.285
Leclerc,70,5,1.21.478
Leclerc,71,5,1.22.440
Bottas,1,18,2.14.035
Bottas,2,17,2.13.728
Bottas,3,17,2.06.091
Bottas,4,17,1.46.596
Bottas,5,18,1.28.582
Bottas,6,18,1.24.490
Bottas,7,18,1.24.597
Bottas,8,18,1.24.159
Bottas,9,18,1.24.930
Bottas,10,18,1.25.882
Bottas,11,17,1.25.858
Bottas,12,16,1.24.191
Bottas,13,15,1.23.715
Bottas,14,15,1.23.201
Bottas,15,14,1.23.181
Bottas,16,13,1.22.954
Bottas,17,12,1.23.342
Bottas,18,12,1.23.035
Bottas,19,12,1.23.734
Bottas,20,12,1.23.658
Bottas,21,12,1.22.769
Bottas,22,12,1.23.117
Bottas,23,12,1.23.338
Bottas,24,12,1.23.160
Bottas,25,12,1.23.951
Bottas,26,12,1.23.000
Bottas,27,12,1.23.878
Bottas,28,12,1.23.691
Bottas,29,12,1.22.748
Bottas,30,12,1.22.828
Bottas,31,12,1.22.153
Bottas,32,12,1.23.215
Bottas,33,12,1.22.943
Bottas,34,12,1.22.624
Bottas,35,12,1.22.554
Bottas,36,12,1.21.846
Bottas,37,12,1.21.870
Bottas,38,11,1.23.676
Bottas,39,11,1.21.125
Bottas,40,11,1.24.441
Bottas,41,15,1.52.388
Bottas,42,14,1.20.199
Bottas,43,14,1.20.213
Bottas,44,14,1.20.049
Bottas,45,14,1.20.747
Bottas,46,13,1.19.761
Bottas,47,13,1.20.514
Bottas,48,13,1.20.952
Bottas,49,13,1.21.260
Bottas,50,13,1.20.545
Bottas,51,13,1.21.314
Bottas,52,13,1.21.848
Bottas,53,13,1.22.228
Bottas,54,13,1.22.038
Bottas,55,13,1.21.488
Bottas,56,13,1.21.829
Bottas,57,13,1.22.037
Bottas,58,13,1.21.990
Bottas,59,13,1.23.225
Bottas,60,13,1.23.797
Bottas,61,13,1.22.889
Bottas,62,13,1.22.045
Bottas,63,13,1.23.135
Bottas,64,14,1.42.702
Bottas,65,14,1.19.829
Bottas,66,14,1.19.941
Bottas,67,15,1.27.069
Bottas,68,16,1.49.327
Bottas,69,15,1.17.774
