driver,lap,position,time
Verstappen,1,1,1.21.986
Verstappen,2,1,1.17.480
Verstappen,3,1,1.17.298
Verstappen,4,1,1.17.237
Verstappen,5,1,1.16.892
Verstappen,6,1,1.17.147
Verstappen,7,1,1.16.722
Verstappen,8,1,1.17.120
Verstappen,9,1,1.16.910
Verstappen,10,1,1.16.944
Verstappen,11,1,1.16.265
Verstappen,12,1,1.16.339
Verstappen,13,1,1.15.954
Verstappen,14,1,1.16.305
Verstappen,15,1,1.15.818
Verstappen,16,1,1.15.760
Verstappen,17,1,1.15.990
Verstappen,18,1,1.15.917
Verstappen,19,1,1.15.655
Verstappen,20,1,1.16.084
Verstappen,21,1,1.16.184
Verstappen,22,1,1.16.144
Verstappen,23,1,1.16.272
Verstappen,24,1,1.16.244
Verstappen,25,1,1.16.531
Verstappen,26,1,1.16.322
Verstappen,27,1,1.16.000
Verstappen,28,1,1.15.981
Verstappen,29,1,1.16.551
Verstappen,30,1,1.16.582
Verstappen,31,1,1.15.167
Verstappen,32,1,1.15.889
Verstappen,33,1,1.15.827
Verstappen,34,1,1.32.339
Verstappen,35,1,1.20.639
Verstappen,36,1,1.15.494
Verstappen,37,1,1.15.861
Verstappen,38,1,1.16.438
Verstappen,39,1,1.16.535
Verstappen,40,1,1.15.881
Verstappen,41,1,1.15.468
Verstappen,42,1,1.15.581
Verstappen,43,1,1.15.624
Verstappen,44,1,1.14.993
Verstappen,45,1,1.14.930
Verstappen,46,1,1.15.502
Verstappen,47,1,1.15.494
Verstappen,48,1,1.14.851
Verstappen,49,1,1.15.186
Verstappen,50,1,1.14.714
Verstappen,51,1,1.14.950
Verstappen,52,1,1.14.853
Verstappen,53,1,1.14.745
Verstappen,54,1,1.14.967
Verstappen,55,1,1.14.783
Verstappen,56,1,1.14.799
Verstappen,57,1,1.14.762
Verstappen,58,1,1.14.649
Verstappen,59,1,1.15.092
Verstappen,60,1,1.15.370
Verstappen,61,1,1.15.557
Verstappen,62,1,1.15.455
Verstappen,63,1,1.15.014
Verstappen,64,1,1.15.473
Verstappen,65,1,1.15.356
Verstappen,66,1,1.15.301
Verstappen,67,1,1.15.035
Verstappen,68,1,1.14.843
Verstappen,69,1,1.14.836
Verstappen,70,1,1.15.321
Verstappen,71,1,1.15.237
Verstappen,72,1,1.14.942
Verstappen,73,1,1.15.316
Verstappen,74,1,1.15.515
Verstappen,75,1,1.14.909
Verstappen,76,1,1.15.331
Verstappen,77,1,1.16.533
Verstappen,78,1,1.16.829
Bottas,1,2,1.23.015
Bottas,2,2,1.17.613
Bottas,3,2,1.17.329
Bottas,4,2,1.17.154
Bottas,5,2,1.17.236
Bottas,6,2,1.16.863
Bottas,7,2,1.17.082
Bottas,8,2,1.16.751
Bottas,9,2,1.16.961
Bottas,10,2,1.17.012
Bottas,11,2,1.16.575
Bottas,12,2,1.16.540
Bottas,13,2,1.16.040
Bottas,14,2,1.16.028
Bottas,15,2,1.15.974
Bottas,16,2,1.16.275
Bottas,17,2,1.15.914
Bottas,18,2,1.15.706
Bottas,19,2,1.15.908
Bottas,20,2,1.16.335
Bottas,21,2,1.16.600
Bottas,22,2,1.16.471
Bottas,23,2,1.16.641
Bottas,24,2,1.17.198
Bottas,25,2,1.16.543
Bottas,26,2,1.16.687
Bottas,27,2,1.16.247
Bottas,28,2,1.16.034
Bottas,29,2,1.16.265
Hamilton,1,6,1.27.982
Hamilton,2,6,1.18.742
Hamilton,3,6,1.18.240
Hamilton,4,6,1.17.936
Hamilton,5,6,1.18.221
Hamilton,6,6,1.17.448
Hamilton,7,6,1.17.205
Hamilton,8,6,1.17.009
Hamilton,9,6,1.16.779
Hamilton,10,6,1.16.869
Hamilton,11,6,1.16.698
Hamilton,12,6,1.16.667
Hamilton,13,6,1.17.070
Hamilton,14,6,1.16.555
Hamilton,15,6,1.16.262
