driver,lap,position,time
Verstappen,1,2,01.39.5
Verstappen,2,2,01.30.1
Verstappen,3,2,01.25.8
Verstappen,4,2,01.26.4
Verstappen,5,2,01.26.4
Verstappen,6,2,01.26.3
Verstappen,7,2,01.27.2
Verstappen,8,2,01.26.3
Verstappen,9,2,01.26.5
Verstappen,10,2,01.26.5
Verstappen,11,2,01.26.7
Verstappen,12,2,01.26.7
Verstappen,13,2,01.26.4
Verstappen,14,2,01.26.7
Verstappen,15,2,01.26.3
Verstappen,16,2,01.26.7
Verstappen,17,2,01.26.8
Verstappen,18,2,01.26.8
Verstappen,19,2,01.26.8
Verstappen,20,2,01.27.1
Verstappen,21,2,01.27.7
Verstappen,22,1,01.27.5
Verstappen,23,2,01.31.2
Verstappen,24,9,01.54.1
Verstappen,25,8,01.25.2
Hamilton,1,4,01.45.5
Hamilton,2,4,01.27.9
Hamilton,3,4,01.25.9
Hamilton,4,4,01.26.3
Hamilton,5,4,01.26.0
Hamilton,6,4,01.26.8
Hamilton,7,4,01.26.8
Hamilton,8,4,01.26.4
Hamilton,9,4,01.26.6
Hamilton,10,4,01.26.5
Hamilton,11,4,01.26.4
Hamilton,12,4,01.27.4
Hamilton,13,4,01.27.4
Hamilton,14,4,01.27.5
Hamilton,15,4,01.26.8
Hamilton,16,4,01.26.6
Hamilton,17,4,01.27.0
Hamilton,18,4,01.26.8
Hamilton,19,4,01.26.8
Hamilton,20,4,01.26.6
Hamilton,21,4,01.27.0
Hamilton,22,4,01.26.9
Hamilton,23,3,01.27.0
Hamilton,24,1,01.26.6
Hamilton,25,1,01.30.9
Leclerc,1,5,01.48.2
Leclerc,2,5,01.28.0
Leclerc,3,5,01.26.1
Leclerc,4,5,01.26.6
Leclerc,5,5,01.26.5
Leclerc,6,5,01.26.5
Leclerc,7,5,01.26.8
Leclerc,8,5,01.26.6
Leclerc,9,5,01.26.5
Leclerc,10,5,01.26.6
Leclerc,11,5,01.26.5
Leclerc,12,5,01.26.6
Leclerc,13,5,01.26.7
Leclerc,14,5,01.27.0
Leclerc,15,5,01.27.3
Leclerc,16,5,01.27.2
Leclerc,17,5,01.27.0
Leclerc,18,5,01.27.0
Leclerc,19,5,01.26.6
Leclerc,20,5,01.27.0
Leclerc,21,5,01.27.4
Leclerc,22,5,01.27.3
Leclerc,23,4,01.27.2
Leclerc,24,2,01.27.4
Leclerc,25,2,01.27.2
Leclerc,26,1,01.44.4
Leclerc,27,2,02.44.6
Leclerc,28,2,02.36.7
Leclerc,29,2,02.30.1
Leclerc,30,2,02.32.4
Leclerc,31,3,01.28.0
Leclerc,32,4,01.27.9
Leclerc,33,4,01.26.5
Leclerc,34,5,01.26.7
Leclerc,35,5,01.25.7
Leclerc,36,5,01.26.0
Leclerc,37,5,01.26.2
Leclerc,38,5,01.25.8
Leclerc,39,5,01.26.4
Leclerc,40,5,01.26.1
Leclerc,41,5,01.25.8
Leclerc,42,5,01.25.7
Leclerc,43,5,01.26.9
Leclerc,44,5,01.44.9
Leclerc,45,5,01.26.0
Leclerc,46,5,01.25.6
Leclerc,47,5,01.26.0
Leclerc,48,5,01.25.9
Leclerc,49,5,01.25.6
Leclerc,50,5,01.25.5
Leclerc,51,5,01.25.5
Leclerc,52,5,01.25.7
Leclerc,53,5,01.25.3
Perez,1,7,01.50.4
Perez,2,7,01.27.6
Perez,3,7,01.26.7
Perez,4,7,01.27.0
Perez,5,7,01.27.0
Perez,6,7,01.27.0
Perez,7,7,01.27.0
Perez,8,7,01.26.8
Perez,9,6,01.27.6
Perez,10,6,01.26.6
Perez,11,6,01.26.3
Perez,12,6,01.26.4
Perez,13,6,01.26.5
Perez,14,6,01.26.5
Perez,15,6,01.26.5
Perez,16,6,01.26.9
Perez,17,6,01.26.9
Perez,18,6,01.26.9
Perez,19,6,01.26.9
Perez,20,6,01.26.9
Perez,21,6,01.27.4
Perez,22,6,01.27.7
Perez,23,5,01.26.9
Perez,24,4,01.27.3
Perez,25,3,01.27.3
Perez,26,2,01.45.6
Perez,27,4,02.44.5
Perez,28,4,02.36.1
Perez,29,4,02.29.8
Perez,30,4,02.29.7
Perez,31,4,01.27.7
Perez,32,3,01.26.6
Perez,33,3,01.25.6
Perez,34,3,01.26.2
Perez,35,3,01.26.0
Perez,36,3,01.26.0
Perez,37,3,01.26.2
Perez,38,3,01.26.4
Perez,39,3,01.25.7
