driver,lap,position,time
Bottas,1,1,1.24.937
Bottas,2,1,1.46.875
Bottas,3,1,2.22.684
Bottas,4,1,2.15.331
Bottas,5,1,2.01.394
Bottas,6,1,2.10.372
Bottas,7,1,1.23.550
Bottas,8,1,1.23.478
Bottas,9,1,1.23.281
Bottas,10,1,1.23.112
Bottas,11,1,1.23.619
Bottas,12,1,1.22.591
Bottas,13,1,1.22.840
Bottas,14,1,1.22.858
Bottas,15,1,1.22.926
Bottas,16,1,1.22.553
Bottas,17,1,1.22.887
Bottas,18,1,1.22.889
Bottas,19,1,1.23.009
Bottas,20,2,1.24.735
Bottas,21,2,1.23.348
Bottas,22,2,1.22.923
Bottas,23,2,1.22.602
Bottas,24,2,1.22.633
Bottas,25,2,1.22.438
Bottas,26,2,1.22.438
Bottas,27,2,1.22.566
Bottas,28,2,1.22.542
Bottas,29,2,1.22.179
Bottas,30,2,1.22.415
Bottas,31,2,1.22.189
Bottas,32,2,1.22.261
Bottas,33,2,1.21.927
Bottas,34,2,1.22.185
Bottas,35,2,1.22.087
Bottas,36,2,1.25.701
Bottas,37,4,1.47.110
Bottas,38,4,1.21.949
Bottas,39,4,1.22.440
Bottas,40,4,1.22.052
Bottas,41,4,1.21.647
Bottas,42,4,1.21.407
Bottas,43,4,1.21.469
Bottas,44,4,1.21.386
Bottas,45,4,1.20.983
Bottas,46,4,1.21.432
Bottas,47,4,1.21.267
Bottas,48,4,1.21.395
Bottas,49,4,1.21.418
Bottas,50,4,1.21.690
Bottas,51,3,1.21.308
Bottas,52,3,1.21.331
Bottas,53,3,1.21.103
Bottas,54,3,1.23.229
Bottas,55,3,1.23.531
Bottas,56,3,1.21.402
Bottas,57,3,1.21.154
Bottas,58,3,1.21.445
Bottas,59,3,1.21.505
Bottas,60,3,1.20.967
Bottas,61,3,1.21.191
Bottas,62,3,1.21.084
Bottas,63,3,1.24.774
Bottas,64,3,1.44.236
Bottas,65,3,1.19.865
Bottas,66,3,1.20.826
Hamilton,1,2,1.25.806
Hamilton,2,2,1.48.207
Hamilton,3,2,2.22.624
Hamilton,4,2,2.15.225
Hamilton,5,2,2.00.710
Hamilton,6,2,2.09.497
Hamilton,7,3,1.24.750
Hamilton,8,3,1.23.033
Hamilton,9,3,1.23.551
Hamilton,10,3,1.23.044
Hamilton,11,2,1.23.151
Hamilton,12,2,1.22.283
Hamilton,13,2,1.23.076
Hamilton,14,2,1.22.618
Hamilton,15,2,1.22.923
Hamilton,16,2,1.22.656
Hamilton,17,2,1.23.117
Hamilton,18,2,1.22.722
Hamilton,19,2,1.22.730
Hamilton,20,1,1.23.119
Hamilton,21,1,1.23.012
Hamilton,22,1,1.22.621
Hamilton,23,1,1.22.400
Hamilton,24,1,1.22.487
Hamilton,25,1,1.22.333
Hamilton,26,1,1.22.138
Hamilton,27,1,1.22.580
Hamilton,28,1,1.21.995
Hamilton,29,1,1.22.083
Hamilton,30,1,1.22.197
Hamilton,31,1,1.21.934
Hamilton,32,1,1.22.438
Hamilton,33,1,1.21.613
Hamilton,34,1,1.21.913
Hamilton,35,1,1.22.068
Hamilton,36,1,1.22.243
Hamilton,37,1,1.25.526
Hamilton,38,2,1.45.149
Hamilton,39,2,1.21.862
Hamilton,40,2,1.21.831
Hamilton,41,2,1.21.494
Hamilton,42,2,1.21.490
Hamilton,43,2,1.21.380
Hamilton,44,2,1.21.480
Hamilton,45,2,1.21.483
Hamilton,46,2,1.21.932
Hamilton,47,2,1.20.933
Hamilton,48,2,1.21.485
Hamilton,49,2,1.21.342
Hamilton,50,2,1.21.607
Hamilton,51,1,1.21.164
Hamilton,52,1,1.21.252
Hamilton,53,1,1.21.176
Hamilton,54,1,1.21.704
Hamilton,55,1,1.21.150
Hamilton,56,1,1.21.287
Hamilton,57,1,1.21.308
Hamilton,58,1,1.21.214
Hamilton,59,1,1.21.195
Hamilton,60,1,1.21.106
Hamilton,61,1,1.20.984
Hamilton,62,1,1.21.262
Hamilton,63,1,1.21.665
Hamilton,64,1,1.21.903
Hamilton,65,1,1.21.149
Hamilton,66,1,1.22.011
Verstappen,1,3,1.26.704
Verstappen,2,3,1.48.275
Verstappen,3,3,2.22.886
Verstappen,4,3,2.15.089
Verstappen,5,3,2.00.539
Verstappen,6,3,2.08.636
Verstappen,7,2,1.24.011
Verstappen,8,2,1.23.166
Verstappen,9,2,1.23.146
Verstappen,10,2,1.23.631
Verstappen,11,3,1.24.704
Verstappen,12,3,1.22.568
Verstappen,13,3,1.22.928
Verstappen,14,3,1.23.037
Verstappen,15,3,1.22.737
Verstappen,16,3,1.22.616
Verstappen,17,3,1.23.118
Verstappen,18,3,1.22.610
Verstappen,19,3,1.22.581
Verstappen,20,3,1.23.617
Verstappen,21,3,1.23.453
Verstappen,22,3,1.22.982
Verstappen,23,3,1.22.550
Verstappen,24,3,1.22.813
Verstappen,25,3,1.22.448
Verstappen,26,3,1.22.190
Verstappen,27,3,1.22.596
Verstappen,28,3,1.22.534
Verstappen,29,3,1.22.253
Verstappen,30,3,1.22.293
Verstappen,31,3,1.22.478
Verstappen,32,3,1.22.342
Verstappen,33,3,1.22.341
Verstappen,34,3,1.21.934
Verstappen,35,3,1.25.600
Verstappen,36,4,1.43.759
Verstappen,37,3,1.22.033
Verstappen,38,3,1.21.664
Verstappen,39,3,1.21.680
Verstappen,40,3,1.21.649
Verstappen,41,3,1.22.045
Verstappen,42,3,1.21.653
Verstappen,43,3,1.21.951
Verstappen,44,3,1.21.878
Verstappen,45,3,1.21.187
Verstappen,46,3,1.21.287
Verstappen,47,3,1.21.510
Verstappen,48,3,1.21.471
Verstappen,49,3,1.21.362
Verstappen,50,3,1.22.015
Verstappen,51,2,1.21.658
Verstappen,52,2,1.21.112
Verstappen,53,2,1.21.028
Verstappen,54,2,1.21.711
Verstappen,55,2,1.21.457
Verstappen,56,2,1.21.437
Verstappen,57,2,1.21.240
Verstappen,58,2,1.21.088
Verstappen,59,2,1.21.179
Verstappen,60,2,1.21.152
Verstappen,61,2,1.20.990
Verstappen,62,2,1.20.695
Verstappen,63,2,1.21.237
Verstappen,64,2,1.25.271
Verstappen,65,2,1.44.915
Verstappen,66,2,1.19.849
Perez,1,5,1.29.236
Perez,2,5,1.49.102
Perez,3,5,2.21.727
Perez,4,5,2.15.249
Perez,5,5,2.00.471
Perez,6,5,2.07.092
Perez,7,5,1.27.113
Perez,8,5,1.23.889
Perez,9,5,1.23.873
Perez,10,5,1.23.738
Perez,11,5,1.23.736
Perez,12,5,1.23.449
Perez,13,5,1.23.347
Perez,14,5,1.23.618
Perez,15,4,1.24.019
Perez,16,4,1.23.039
Perez,17,4,1.22.998
Perez,18,4,1.22.735
Perez,19,4,1.22.957
Perez,20,4,1.23.004
Perez,21,4,1.23.478
Perez,22,4,1.22.697
Perez,23,4,1.22.821
Perez,24,4,1.22.761
Perez,25,4,1.22.981
Perez,26,4,1.22.486
Perez,27,4,1.22.767
Perez,28,4,1.22.433
Perez,29,4,1.22.459
Perez,30,4,1.22.318
Perez,31,4,1.22.946
Perez,32,4,1.22.458
Perez,33,4,1.22.066
Perez,34,4,1.21.728
Perez,35,4,1.22.127
Perez,36,3,1.22.039
Perez,37,2,1.22.143
Perez,38,1,1.21.887
Perez,39,1,1.22.313
Perez,40,1,1.22.066
Perez,41,1,1.22.143
Perez,42,1,1.22.666
Perez,43,1,1.22.159
Perez,44,1,1.22.136
Perez,45,1,1.22.460
Perez,46,1,1.24.085
Perez,47,1,1.22.215
Perez,48,1,1.22.692
Perez,49,1,1.22.436
Perez,50,1,1.23.261
Perez,51,4,1.28.808
Perez,52,4,1.46.191
Perez,53,4,1.21.343
Perez,54,4,1.22.578
Perez,55,4,1.20.643
Perez,56,4,1.22.375
Perez,57,4,1.22.038
Perez,58,4,1.22.229
Perez,59,4,1.21.898
Perez,60,4,1.22.211
Perez,61,4,1.22.405
Perez,62,4,1.21.804
Perez,63,4,1.21.349
Perez,64,4,1.22.278
Perez,65,4,1.21.621
Perez,66,4,1.21.766
Leclerc,1,8,1.30.736
Leclerc,2,8,1.52.693
Leclerc,3,8,2.21.183
Leclerc,4,8,2.15.461
Leclerc,5,8,1.59.844
Leclerc,6,8,2.03.588
Leclerc,7,7,1.28.143
Leclerc,8,7,1.24.648
Leclerc,9,7,1.24.464
Leclerc,10,7,1.24.224
Leclerc,11,7,1.23.830
Leclerc,12,7,1.23.554
Leclerc,13,7,1.23.760
Leclerc,14,7,1.23.793
Leclerc,15,7,1.23.854
Leclerc,16,7,1.23.823
Leclerc,17,7,1.23.882
Leclerc,18,7,1.23.742
Leclerc,19,7,1.24.114
Leclerc,20,7,1.24.017
Leclerc,21,6,1.23.919
Leclerc,22,6,1.23.532
Leclerc,23,5,1.23.453
Leclerc,24,5,1.23.432
Leclerc,25,5,1.27.314
Leclerc,26,10,1.45.763
Leclerc,27,10,1.22.811
Leclerc,28,10,1.23.048
Leclerc,29,10,1.22.888
Leclerc,30,10,1.22.681
Leclerc,31,10,1.22.888
Leclerc,32,10,1.23.192
Leclerc,33,10,1.23.026
Leclerc,34,10,1.22.548
Leclerc,35,10,1.23.088
Leclerc,36,10,1.22.990
Leclerc,37,9,1.22.709
Leclerc,38,9,1.22.563
Leclerc,39,9,1.22.738
Leclerc,40,8,1.22.534
Leclerc,41,7,1.22.561
Leclerc,42,6,1.22.553
Leclerc,43,6,1.23.047
Leclerc,44,6,1.22.489
Leclerc,45,6,1.22.094
Leclerc,46,6,1.21.915
Leclerc,47,6,1.22.138
Leclerc,48,6,1.22.457
Leclerc,49,6,1.22.199
Leclerc,50,6,1.22.343
Leclerc,51,6,1.21.959
Leclerc,52,6,1.22.496
Leclerc,53,6,1.22.287
Leclerc,54,6,1.22.109
Leclerc,55,6,1.21.741
Leclerc,56,6,1.21.818
Leclerc,57,6,1.22.122
Leclerc,58,6,1.21.866
Leclerc,59,6,1.21.916
Leclerc,60,6,1.21.639
Leclerc,61,6,1.21.626
Leclerc,62,6,1.21.823
Leclerc,63,6,1.21.496
Leclerc,64,6,1.22.336
Leclerc,65,6,1.21.973
Leclerc,66,6,1.23.729
