driver,lap,position,time
Hamilton,1,1,1.33.760
Hamilton,2,1,1.30.198
Hamilton,3,1,1.30.575
Hamilton,4,1,1.28.807
Hamilton,5,1,1.28.815
Hamilton,6,1,1.28.301
Hamilton,7,1,1.28.207
Hamilton,8,1,1.28.359
Hamilton,9,1,1.28.127
Hamilton,10,1,1.27.906
Hamilton,11,1,1.28.080
Hamilton,12,1,1.27.943
Hamilton,13,1,1.27.982
Hamilton,14,1,1.27.943
Hamilton,15,1,1.27.779
Hamilton,16,1,1.27.625
Hamilton,17,1,1.27.514
Hamilton,18,1,1.47.391
Hamilton,19,1,1.34.158
Hamilton,20,1,1.27.495
Hamilton,21,1,1.27.773
Hamilton,22,1,1.27.145
Hamilton,23,1,1.27.423
Hamilton,24,1,1.27.862
Hamilton,25,1,1.26.996
Hamilton,26,1,1.27.018
Hamilton,27,1,1.27.529
Hamilton,28,1,1.27.477
Hamilton,29,1,1.26.840
Hamilton,30,1,1.27.158
Hamilton,31,1,1.27.742
Hamilton,32,1,1.27.074
Hamilton,33,1,1.26.470
Hamilton,34,1,1.26.982
Hamilton,35,1,1.26.554
Hamilton,36,1,1.26.669
Hamilton,37,1,1.26.501
Hamilton,38,1,1.26.919
Hamilton,39,1,1.26.720
Hamilton,40,1,1.26.876
Hamilton,41,1,1.26.648
Hamilton,42,1,1.46.851
Hamilton,43,1,1.32.048
Hamilton,44,1,1.26.361
Hamilton,45,1,1.25.295
Hamilton,46,1,1.26.043
Hamilton,47,1,1.25.923
Hamilton,48,1,1.25.963
Hamilton,49,1,1.26.499
Hamilton,50,1,1.25.084
Hamilton,51,1,1.25.978
Hamilton,52,1,1.25.668
Hamilton,53,1,1.25.956
Hamilton,54,1,1.26.394
Hamilton,55,1,1.36.904
Hamilton,56,1,1.49.716
Hamilton,57,1,1.32.447
Verstappen,1,4,1.37.292
Verstappen,2,4,1.30.572
Verstappen,3,3,1.30.080
Verstappen,4,3,1.29.836
Verstappen,5,2,1.28.166
Verstappen,6,2,1.28.397
Verstappen,7,2,1.29.069
Verstappen,8,2,1.28.339
Verstappen,9,2,1.28.458
Verstappen,10,2,1.28.382
Verstappen,11,2,1.28.315
Verstappen,12,2,1.28.394
Verstappen,13,2,1.28.332
Verstappen,14,2,1.28.336
Verstappen,15,2,1.28.281
Verstappen,16,2,1.28.416
Verstappen,17,2,1.48.566
Verstappen,18,2,1.32.604
