driver,lap,position,time
Leclerc,1,1,2.02.700
Leclerc,2,1,2.39.045
Leclerc,3,1,null
Leclerc,4,1,2.40.134
Leclerc,5,1,1.32.805
Leclerc,6,1,1.32.910
Leclerc,7,1,1.33.003
Leclerc,8,1,1.33.105
Leclerc,9,1,1.32.970
Leclerc,10,1,1.33.232
Leclerc,11,1,1.32.841
Leclerc,12,1,1.32.939
Leclerc,13,1,1.32.969
Leclerc,14,1,1.32.744
Leclerc,15,1,1.33.282
Leclerc,16,1,1.32.623
Leclerc,17,1,1.32.475
Leclerc,18,1,1.32.296
Leclerc,19,1,1.31.985
Leclerc,20,1,1.32.128
Leclerc,21,1,1.31.974
Leclerc,22,1,1.32.223
Leclerc,23,1,1.32.259
Leclerc,24,1,1.32.296
Leclerc,25,1,1.32.048
Leclerc,26,1,1.31.993
Leclerc,27,1,1.32.082
Leclerc,28,1,1.31.958
Leclerc,29,1,1.31.847
Leclerc,30,1,1.51.720
Leclerc,31,1,1.31.552
Leclerc,32,1,1.31.541
Leclerc,33,1,1.31.716
Leclerc,34,1,1.31.978
Leclerc,35,1,1.31.448
Leclerc,36,1,1.31.384
Leclerc,37,1,1.31.500
Leclerc,38,1,1.31.542
Leclerc,39,1,1.31.599
Leclerc,40,1,1.31.425
Leclerc,41,1,1.31.539
Leclerc,42,1,1.31.271
Leclerc,43,1,1.30.917
Leclerc,44,1,1.30.846
Leclerc,45,1,1.30.569
Leclerc,46,1,1.30.724
Leclerc,47,1,1.31.228
Leclerc,48,1,1.31.291
Leclerc,49,1,1.31.149
Leclerc,50,2,1.32.956
Leclerc,51,2,1.32.454
Leclerc,52,2,1.32.857
Hamilton,1,2,2.05.599
Hamilton,2,2,2.38.142
Hamilton,3,2,null
Hamilton,4,2,2.37.266
Hamilton,5,2,1.33.049
Hamilton,6,2,1.33.113
Hamilton,7,2,1.32.738
Hamilton,8,2,1.32.928
Hamilton,9,2,1.33.013
Hamilton,10,2,1.33.458
Hamilton,11,2,1.32.950
Hamilton,12,2,1.32.943
Hamilton,13,2,1.33.158
Hamilton,14,2,1.32.749
Hamilton,15,2,1.32.713
Hamilton,16,2,1.32.473
Hamilton,17,2,1.32.291
Hamilton,18,2,1.32.548
Hamilton,19,2,1.32.597
Hamilton,20,2,1.32.076
Hamilton,21,2,1.32.297
Hamilton,22,2,1.32.189
Hamilton,23,2,1.32.311
Hamilton,24,2,1.32.686
Hamilton,25,2,1.32.115
Hamilton,26,2,1.31.854
Hamilton,27,2,1.32.852
Hamilton,28,5,2.03.392
Hamilton,29,4,1.30.762
Hamilton,30,4,1.31.113
Hamilton,31,3,1.31.257
Hamilton,32,3,1.32.488
Hamilton,33,3,1.32.038
Hamilton,34,3,1.31.219
Hamilton,35,3,1.30.817
Hamilton,36,3,1.31.025
Hamilton,37,3,1.30.807
Hamilton,38,3,1.30.594
Hamilton,39,3,1.30.859
Hamilton,40,2,1.30.443
Hamilton,41,2,1.30.468
Hamilton,42,2,1.30.160
Hamilton,43,2,1.30.258
Hamilton,44,2,1.29.801
Hamilton,45,2,1.29.699
Hamilton,46,2,1.29.701
Hamilton,47,2,1.30.520
Hamilton,48,2,1.30.503
Hamilton,49,2,1.30.525
Hamilton,50,1,1.30.900
Hamilton,51,1,1.31.037
Hamilton,52,1,1.31.635
Bottas,1,3,2.06.173
Bottas,2,3,2.39.641
Bottas,3,3,null
Bottas,4,4,2.36.914
Bottas,5,4,1.33.727
Bottas,6,4,1.33.577
Bottas,7,4,1.33.543
Bottas,8,4,1.33.571
Bottas,9,4,1.33.096
Bottas,10,4,1.33.312
Bottas,11,4,1.33.397
Bottas,12,4,1.33.423
Bottas,13,4,1.33.380
Bottas,14,4,1.33.340
Bottas,15,4,1.32.694
Bottas,16,4,1.32.415
Bottas,17,4,1.32.454
Bottas,18,4,1.32.543
Bottas,19,4,1.32.639
Bottas,20,4,1.32.409
Bottas,21,4,1.32.488
Bottas,22,3,1.31.869
Bottas,23,4,1.52.484
Bottas,24,4,1.31.988
Bottas,25,4,1.31.415
Bottas,26,4,1.31.520
Bottas,27,4,1.31.804
Bottas,28,3,1.31.651
Bottas,29,2,1.32.160
Bottas,30,2,1.32.480
Bottas,31,2,1.32.683
Bottas,32,2,1.32.191
Bottas,33,2,1.31.720
Bottas,34,2,1.31.799
Bottas,35,2,1.31.252
Bottas,36,2,1.31.435
Bottas,37,2,1.31.094
Bottas,38,2,1.31.066
Bottas,39,2,1.31.146
Bottas,40,3,1.33.278
Bottas,41,3,1.31.445
Bottas,42,3,1.31.084
Bottas,43,3,1.31.161
Bottas,44,3,1.30.688
Bottas,45,3,1.30.524
Bottas,46,3,1.30.641
Bottas,47,3,1.30.872
Bottas,48,3,1.31.181
Bottas,49,3,1.31.473
Bottas,50,3,1.32.153
Bottas,51,3,1.31.698
Bottas,52,3,1.32.424
Perez,1,19,2.29.563
Perez,2,19,2.54.839
Perez,3,19,null
Perez,4,16,1.42.651
Perez,5,14,1.35.983
Perez,6,14,1.35.256
Perez,7,13,1.34.763
Perez,8,13,1.34.882
Perez,9,12,1.34.058
Perez,10,12,1.34.621
Perez,11,12,1.34.535
Perez,12,12,1.34.822
Perez,13,12,1.34.837
Perez,14,12,1.34.570
Perez,15,12,1.34.353
Perez,16,12,1.34.182
Perez,17,12,1.34.081
Perez,18,11,1.33.404
Perez,19,15,1.52.025
Perez,20,13,1.32.816
Perez,21,13,1.32.609
Perez,22,12,1.32.062
Perez,23,12,1.32.297
Perez,24,11,1.32.159
Perez,25,11,1.32.448
Perez,26,11,1.32.835
Perez,27,11,1.32.755
Perez,28,11,1.33.276
Perez,29,10,1.33.639
Perez,30,10,1.33.373
Perez,31,9,1.33.770
Perez,32,9,1.33.306
Perez,33,9,1.33.135
Perez,34,9,1.33.207
Perez,35,9,1.33.411
Perez,36,9,1.33.045
Perez,37,9,1.33.376
Perez,38,8,1.31.900
Perez,39,16,1.50.566
Perez,40,15,1.31.070
Perez,41,13,1.32.140
Perez,42,13,1.31.953
Perez,43,12,1.32.319
Perez,44,12,1.32.617
Perez,45,12,1.32.224
Perez,46,11,1.32.502
Perez,47,10,1.30.958
Perez,48,10,1.30.000
Perez,49,16,1.58.246
Perez,50,16,1.28.617
Perez,51,16,1.31.284
