driver,lap,position,time
Hamilton,1,7,1.49.826
Hamilton,2,6,1.42.034
Hamilton,3,6,1.42.100
Hamilton,4,6,1.42.734
Hamilton,5,6,1.42.718
Hamilton,6,6,1.42.414
Hamilton,7,6,1.42.300
Hamilton,8,6,1.42.076
Hamilton,9,6,1.42.134
Hamilton,10,6,1.42.211
Hamilton,11,6,1.42.348
Hamilton,12,5,1.42.263
Hamilton,13,4,1.41.953
Hamilton,14,4,1.41.942
Hamilton,15,3,1.41.434
Hamilton,16,3,1.41.491
Hamilton,17,3,1.41.552
Hamilton,18,3,1.41.478
Hamilton,19,3,1.41.642
Hamilton,20,3,1.41.799
Hamilton,21,3,1.41.787
Hamilton,22,2,1.41.381
Hamilton,23,2,1.40.281
Hamilton,24,2,1.39.908
Hamilton,25,2,1.40.051
Hamilton,26,4,1.45.751
Hamilton,27,9,1.59.008
Hamilton,28,8,1.40.471
Hamilton,29,7,1.38.844
Hamilton,30,5,1.38.244
Hamilton,31,5,1.38.009
Hamilton,32,5,1.38.134
Hamilton,33,5,1.38.316
Hamilton,34,5,1.38.007
Hamilton,35,4,1.38.200
Hamilton,36,3,1.38.273
Hamilton,37,2,1.37.770
Hamilton,38,2,1.37.689
Hamilton,39,2,1.37.719
Hamilton,40,2,1.37.608
Hamilton,41,2,1.37.832
Hamilton,42,2,1.37.678
Hamilton,43,2,1.37.575
Hamilton,44,2,1.37.789
Hamilton,45,2,1.38.092
Hamilton,46,2,1.38.942
Hamilton,47,2,1.42.612
Hamilton,48,2,1.55.730
Hamilton,49,2,1.56.879
Hamilton,50,2,2.06.316
Hamilton,51,1,1.53.532
Hamilton,52,1,1.52.659
Hamilton,53,1,1.51.465
Perez,1,8,1.50.617
Perez,2,8,1.43.853
Perez,3,7,1.41.628
Perez,4,7,1.41.781
Perez,5,7,1.42.236
Perez,6,7,1.42.474
Perez,7,7,1.42.246
Perez,8,7,1.42.072
Perez,9,7,1.42.209
Perez,10,7,1.42.162
Perez,11,7,1.42.224
Perez,12,6,1.42.521
Perez,13,5,1.42.080
Perez,14,5,1.41.818
Perez,15,4,1.41.822
Perez,16,4,1.41.372
Perez,17,4,1.41.400
Perez,18,4,1.41.498
Perez,19,4,1.41.637
Perez,20,4,1.41.708
Perez,21,4,1.41.615
Perez,22,3,1.41.630
Perez,23,3,1.40.671
Perez,24,3,1.40.525
Perez,25,3,1.40.247
Perez,26,2,1.40.255
Perez,27,2,1.39.547
Perez,28,2,1.39.888
Perez,29,1,1.39.516
Perez,30,1,1.39.547
Perez,31,1,1.39.360
Perez,32,1,1.39.618
Perez,33,1,1.39.556
Perez,34,1,1.39.625
Perez,35,1,1.40.384
Perez,36,1,1.45.808
Perez,37,5,2.05.912
Perez,38,5,1.39.460
Perez,39,5,1.39.631
Perez,40,5,1.39.693
Perez,41,5,1.40.196
Perez,42,5,1.39.218
Perez,43,5,1.39.475
Perez,44,4,1.40.078
Perez,45,4,1.39.215
Perez,46,4,1.39.368
Perez,47,3,1.44.920
Perez,48,3,2.03.134
Perez,49,4,1.54.125
Perez,50,7,2.22.334
Perez,51,9,2.19.167
Perez,52,9,1.54.875
Perez,53,9,1.53.126
Leclerc,1,12,1.52.660
Leclerc,2,12,1.45.188
Leclerc,3,12,1.43.003
Leclerc,4,12,1.42.081
Leclerc,5,12,1.43.036
Leclerc,6,12,1.43.147
Leclerc,7,12,1.42.089
Leclerc,8,12,1.42.333
Leclerc,9,12,1.42.561
Leclerc,10,13,1.44.637
Leclerc,11,13,1.41.905
Leclerc,12,13,1.42.186
Leclerc,13,12,1.42.405
Leclerc,14,10,1.40.993
Leclerc,15,7,1.41.707
Leclerc,16,7,1.41.152
Leclerc,17,7,1.40.867
Leclerc,18,7,1.40.587
Leclerc,19,7,1.40.952
Leclerc,20,7,1.40.565
Leclerc,21,7,1.40.639
Leclerc,22,7,1.40.767
Leclerc,23,6,1.41.024
Leclerc,24,6,1.41.413
Leclerc,25,6,1.40.889
Leclerc,26,5,1.40.873
Leclerc,27,4,1.40.411
Leclerc,28,4,1.40.336
Leclerc,29,3,1.40.264
Leclerc,30,3,1.40.223
Leclerc,31,3,1.40.442
Leclerc,32,3,1.40.582
Leclerc,33,3,1.40.564
Leclerc,34,4,1.42.317
Leclerc,35,5,1.46.626
Leclerc,36,13,2.03.068
Leclerc,37,13,1.40.863
Leclerc,38,13,1.40.696
Leclerc,39,12,1.39.894
Leclerc,40,10,1.39.158
Leclerc,41,10,1.39.664
Leclerc,42,9,1.39.212
Leclerc,43,9,1.39.076
Leclerc,44,8,1.39.034
Leclerc,45,8,1.38.994
Leclerc,46,8,1.39.581
Leclerc,47,8,1.44.838
Leclerc,48,5,1.56.506
Leclerc,49,5,1.50.485
Leclerc,50,4,2.15.695
Leclerc,51,13,3.19.316
Leclerc,52,15,2.21.156
Bottas,1,15,1.54.016
Bottas,2,15,1.45.895
Bottas,3,15,1.43.892
Bottas,4,14,1.41.437
Bottas,5,14,1.42.259
Bottas,6,15,1.43.825
Bottas,7,15,1.42.366
Bottas,8,15,1.42.839
Bottas,9,15,1.42.203
Bottas,10,15,1.43.615
Bottas,11,15,1.42.188
Bottas,12,15,1.42.112
Bottas,13,14,1.42.309
Bottas,14,13,1.42.953
Bottas,15,12,1.42.565
Bottas,16,10,1.42.461
Bottas,17,10,1.41.800
Bottas,18,10,1.41.449
Bottas,19,10,1.41.474
Bottas,20,10,1.41.694
Bottas,21,10,1.41.606
Bottas,22,10,1.41.560
Bottas,23,9,1.41.011
Bottas,24,9,1.41.286
Bottas,25,9,1.41.438
Bottas,26,8,1.41.932
Bottas,27,7,1.42.362
Bottas,28,10,1.45.623
Bottas,29,16,1.58.450
Bottas,30,16,1.39.547
Bottas,31,15,1.38.216
Bottas,32,15,1.38.931
