driver,lap,position,time
Verstappen,1,1,1.26.190
Verstappen,2,1,1.23.561
Verstappen,3,1,1.23.250
Verstappen,4,1,1.23.209
Verstappen,5,1,1.23.206
Verstappen,6,1,1.23.227
Verstappen,7,1,1.23.090
Verstappen,8,1,1.25.483
Verstappen,9,1,2.14.880
Verstappen,10,1,2.19.896
Verstappen,11,1,1.23.251
Verstappen,12,1,1.23.297
Verstappen,13,1,1.23.009
Verstappen,14,1,1.23.155
Verstappen,15,1,1.23.152
Verstappen,16,1,1.23.515
Verstappen,17,1,1.23.263
Verstappen,18,1,1.23.289
Verstappen,19,1,1.23.317
Verstappen,20,1,1.23.362
Verstappen,21,1,1.23.460
Verstappen,22,1,1.23.513
Verstappen,23,1,1.23.729
Verstappen,24,2,1.28.038
Verstappen,25,3,1.41.545
Verstappen,26,3,1.21.411
Verstappen,27,3,1.22.171
Verstappen,28,2,1.22.258
Verstappen,29,1,1.22.446
Verstappen,30,1,1.22.621
Verstappen,31,1,1.22.714
Verstappen,32,1,1.22.456
Verstappen,33,1,1.22.131
Verstappen,34,1,1.21.533
Verstappen,35,1,1.21.571
Verstappen,36,1,1.21.487
Verstappen,37,1,1.21.872
Verstappen,38,1,1.21.727
Verstappen,39,1,1.22.084
Verstappen,40,1,1.21.990
Verstappen,41,1,1.21.717
Verstappen,42,1,1.22.118
Verstappen,43,1,1.21.632
Verstappen,44,1,1.21.886
Verstappen,45,1,1.21.987
Verstappen,46,1,1.22.473
Verstappen,47,1,1.22.589
Verstappen,48,1,1.23.039
Verstappen,49,1,1.22.924
Verstappen,50,1,1.22.340
Verstappen,51,1,1.22.513
Verstappen,52,1,1.22.358
Verstappen,53,1,1.22.168
Verstappen,54,1,1.22.529
Verstappen,55,1,1.22.664
Verstappen,56,1,1.22.923
Verstappen,57,1,1.22.554
Verstappen,58,1,1.22.411
Verstappen,59,1,1.22.546
Verstappen,60,2,1.28.448
Verstappen,61,2,1.41.338
Verstappen,62,2,1.18.149
Verstappen,63,2,1.20.216
Verstappen,64,2,1.19.619
Verstappen,65,2,1.20.146
Verstappen,66,2,1.20.875
Hamilton,1,2,1.27.702
Hamilton,2,2,1.23.798
Hamilton,3,2,1.23.425
Hamilton,4,2,1.22.938
Hamilton,5,2,1.23.118
Hamilton,6,2,1.23.062
Hamilton,7,2,1.23.261
Hamilton,8,2,1.29.253
Hamilton,9,2,2.11.611
Hamilton,10,2,2.18.416
Hamilton,11,2,1.23.608
Hamilton,12,2,1.23.415
Hamilton,13,2,1.23.038
Hamilton,14,2,1.23.180
Hamilton,15,2,1.23.309
Hamilton,16,2,1.23.250
Hamilton,17,2,1.23.467
Hamilton,18,2,1.23.318
Hamilton,19,2,1.23.407
Hamilton,20,2,1.23.559
Hamilton,21,2,1.23.167
Hamilton,22,2,1.23.323
Hamilton,23,2,1.23.576
Hamilton,24,1,1.24.510
Hamilton,25,1,1.23.284
Hamilton,26,1,1.23.664
Hamilton,27,1,1.23.107
Hamilton,28,1,1.27.030
Hamilton,29,2,1.40.943
Hamilton,30,2,1.21.276
Hamilton,31,2,1.21.204
Hamilton,32,2,1.21.403
Hamilton,33,2,1.21.509
Hamilton,34,2,1.21.512
Hamilton,35,2,1.21.468
Hamilton,36,2,1.21.726
Hamilton,37,2,1.21.605
Hamilton,38,2,1.22.036
Hamilton,39,2,1.22.039
Hamilton,40,2,1.21.778
Hamilton,41,2,1.21.697
Hamilton,42,2,1.25.686
Hamilton,43,3,1.39.613
Hamilton,44,3,1.20.775
Hamilton,45,3,1.20.728
Hamilton,46,3,1.20.730
Hamilton,47,3,1.21.348
Hamilton,48,3,1.21.270
Hamilton,49,3,1.21.155
Hamilton,50,3,1.20.994
Hamilton,51,3,1.21.225
Hamilton,52,2,1.22.670
Hamilton,53,2,1.21.304
Hamilton,54,2,1.20.665
Hamilton,55,2,1.20.787
Hamilton,56,2,1.20.990
Hamilton,57,2,1.20.906
Hamilton,58,2,1.20.931
Hamilton,59,2,1.21.521
Hamilton,60,1,1.22.205
Hamilton,61,1,1.21.107
Hamilton,62,1,1.21.636
Hamilton,63,1,1.21.705
Hamilton,64,1,1.21.708
Hamilton,65,1,1.21.985
Hamilton,66,1,1.22.044
Leclerc,1,3,1.29.442
Leclerc,2,3,1.24.948
Leclerc,3,3,1.24.403
Leclerc,4,3,1.24.198
Leclerc,5,3,1.24.269
Leclerc,6,3,1.24.195
