driver,lap,position,time
Verstappen,1,1,01.12.8
Verstappen,2,1,01.10.0
Verstappen,3,1,01.09.8
Verstappen,4,1,01.09.6
Verstappen,5,1,01.09.7
Verstappen,6,1,01.09.9
Verstappen,7,1,01.09.9
Verstappen,8,1,01.09.9
Verstappen,9,1,01.09.7
Verstappen,10,1,01.09.9
Verstappen,11,1,01.09.9
Verstappen,12,1,01.09.9
Verstappen,13,1,01.09.7
Verstappen,14,1,01.09.6
Verstappen,15,1,01.09.7
Verstappen,16,1,01.09.7
Verstappen,17,1,01.09.7
Verstappen,18,1,01.09.8
Verstappen,19,1,01.10.0
Verstappen,20,1,01.09.9
Verstappen,21,1,01.09.6
Verstappen,22,1,01.09.6
Verstappen,23,1,01.09.8
Verstappen,24,1,01.09.9
Verstappen,25,1,01.09.9
Verstappen,26,1,01.09.9
Verstappen,27,1,01.09.9
Verstappen,28,1,01.10.3
Verstappen,29,1,01.13.5
Verstappen,30,1,01.25.9
Verstappen,31,1,01.09.0
Verstappen,32,1,01.09.2
Verstappen,33,1,01.09.0
Verstappen,34,1,01.08.8
Verstappen,35,1,01.08.7
Verstappen,36,1,01.08.7
Verstappen,37,1,01.08.7
Verstappen,38,1,01.08.7
Verstappen,39,1,01.08.8
Verstappen,40,1,01.08.5
Verstappen,41,1,01.08.6
Verstappen,42,1,01.08.4
Verstappen,43,1,01.08.8
Verstappen,44,1,01.08.4
Verstappen,45,1,01.08.5
Verstappen,46,1,01.08.6
Verstappen,47,1,01.08.5
Verstappen,48,1,01.08.7
Verstappen,49,1,01.08.9
Verstappen,50,1,01.08.5
Verstappen,51,1,01.08.7
Verstappen,52,1,01.08.7
Verstappen,53,1,01.09.2
Verstappen,54,1,01.08.8
Verstappen,55,1,01.08.7
Verstappen,56,1,01.08.8
Verstappen,57,1,01.08.8
Verstappen,58,1,01.08.6
Verstappen,59,1,01.08.8
Verstappen,60,1,01.08.8
Verstappen,61,1,01.08.7
Verstappen,62,1,01.09.1
Verstappen,63,1,01.08.9
Verstappen,64,1,01.09.0
Verstappen,65,1,01.08.8
Verstappen,66,1,01.08.8
Verstappen,67,1,01.09.3
Verstappen,68,1,01.08.0
Verstappen,69,1,01.09.2
Verstappen,70,1,01.09.3
Verstappen,71,1,01.10.6
Hamilton,1,2,01.13.7
Hamilton,2,2,01.10.5
Hamilton,3,2,01.10.0
Hamilton,4,2,01.09.9
Hamilton,5,2,01.09.9
Hamilton,6,2,01.10.4
Hamilton,7,2,01.09.8
Hamilton,8,2,01.09.9
Hamilton,9,2,01.09.9
Hamilton,10,2,01.09.8
Hamilton,11,2,01.10.1
Hamilton,12,2,01.09.8
Hamilton,13,2,01.09.7
Hamilton,14,2,01.09.7
Hamilton,15,2,01.10.1
Hamilton,16,2,01.09.9
Hamilton,17,2,01.09.9
Hamilton,18,2,01.10.2
Hamilton,19,2,01.10.3
Hamilton,20,2,01.09.9
Hamilton,21,2,01.09.6
Hamilton,22,2,01.09.9
Hamilton,23,2,01.09.8
Hamilton,24,2,01.09.9
Hamilton,25,2,01.10.6
Hamilton,26,2,01.09.6
Hamilton,27,2,01.10.2
Hamilton,28,2,01.13.5
Hamilton,29,2,01.26.0
Hamilton,30,2,01.09.1
Hamilton,31,2,01.09.1
Hamilton,32,2,01.09.3
Hamilton,33,2,01.08.4
Hamilton,34,2,01.09.1
Hamilton,35,2,01.08.7
Hamilton,36,2,01.08.5
Hamilton,37,2,01.08.5
Hamilton,38,2,01.08.8
Hamilton,39,2,01.08.9
Hamilton,40,2,01.08.8
Hamilton,41,2,01.08.6
Hamilton,42,2,01.08.5
Hamilton,43,2,01.08.9
Hamilton,44,2,01.08.6
Hamilton,45,2,01.09.4
Hamilton,46,2,01.08.8
Hamilton,47,2,01.08.8
Hamilton,48,2,01.08.9
Hamilton,49,2,01.08.9
Hamilton,50,2,01.08.7
Hamilton,51,2,01.09.5
Hamilton,52,2,01.09.0
Hamilton,53,2,01.09.3
Hamilton,54,2,01.09.2
Hamilton,55,2,01.09.0
Hamilton,56,2,01.09.0
Hamilton,57,2,01.09.0
Hamilton,58,2,01.09.4
Hamilton,59,2,01.09.2
Hamilton,60,2,01.09.4
Hamilton,61,2,01.09.3
Hamilton,62,2,01.09.6
Hamilton,63,2,01.09.4
Hamilton,64,2,01.09.4
Hamilton,65,2,01.10.6
Hamilton,66,2,01.09.8
Hamilton,67,2,01.09.8
Hamilton,68,2,01.09.5
Hamilton,69,2,01.13.2
Hamilton,70,2,01.27.4
Hamilton,71,2,01.07.1
Perez,1,4,01.15.6
Perez,2,4,01.11.1
Perez,3,4,01.10.9
Perez,4,4,01.10.5
Perez,5,4,01.10.8
Perez,6,4,01.10.8
Perez,7,4,01.10.9
Perez,8,4,01.11.3
Perez,9,4,01.11.1
Perez,10,3,01.10.8
Perez,11,3,01.10.7
Perez,12,3,01.10.3
Perez,13,3,01.10.1
Perez,14,3,01.10.2
Perez,15,3,01.10.1
Perez,16,3,01.10.2
Perez,17,3,01.10.2
Perez,18,3,01.10.2
Perez,19,3,01.10.3
Perez,20,3,01.10.5
Perez,21,3,01.10.4
Perez,22,3,01.10.2
Perez,23,3,01.10.2
Perez,24,3,01.10.6
Perez,25,3,01.10.8
Perez,26,4,01.15.1
Perez,27,5,01.28.3
Perez,28,5,01.09.7
