driver,lap,position,time
Bottas,1,1,01.35.4
Bottas,2,1,01.34.4
Bottas,3,1,01.34.5
Bottas,4,1,01.34.7
Bottas,5,1,01.34.7
Bottas,6,1,01.34.9
Bottas,7,1,01.34.6
Bottas,8,1,01.34.8
Bottas,9,1,01.34.4
Bottas,10,1,01.34.6
Bottas,11,1,01.34.3
Bottas,12,1,01.34.0
Bottas,13,1,01.33.7
Bottas,14,1,01.33.7
Bottas,15,1,01.33.8
Bottas,16,1,01.33.7
Bottas,17,1,01.33.4
Bottas,18,1,01.33.1
Bottas,19,1,01.33.8
Bottas,20,1,01.33.4
Bottas,21,1,01.33.4
Bottas,22,1,01.33.3
Bottas,23,1,01.33.3
Bottas,24,1,01.33.9
Bottas,25,1,01.34.3
Bottas,26,1,01.33.6
Bottas,27,1,01.33.5
Bottas,28,1,01.33.4
Bottas,29,1,01.33.7
Bottas,30,1,01.34.1
Bottas,31,1,01.33.7
Bottas,32,1,01.33.9
Bottas,33,1,01.34.0
Bottas,34,1,01.34.6
Bottas,35,1,01.33.9
Bottas,36,1,01.34.0
Bottas,37,1,01.35.0
Bottas,38,2,01.53.8
Bottas,39,2,01.33.9
Bottas,40,2,01.33.9
Bottas,41,2,01.34.4
Bottas,42,2,01.33.9
Bottas,43,2,01.34.2
Bottas,44,2,01.34.7
Bottas,45,2,01.34.9
Bottas,46,2,01.35.3
Bottas,47,1,01.34.1
Bottas,48,1,01.33.8
Bottas,49,1,01.33.3
Bottas,50,1,01.32.9
Bottas,51,1,01.34.6
Bottas,52,1,01.33.1
Bottas,53,1,01.32.1
Bottas,54,1,01.32.4
Bottas,55,1,01.33.7
Bottas,56,1,01.31.0
Bottas,57,1,01.34.3
Bottas,58,1,01.30.4
Verstappen,1,2,01.36.7
Verstappen,2,2,01.34.6
Verstappen,3,2,01.34.5
Verstappen,4,2,01.34.8
Verstappen,5,2,01.34.6
Verstappen,6,2,01.35.0
Verstappen,7,2,01.35.0
Verstappen,8,2,01.34.8
Verstappen,9,2,01.34.7
Verstappen,10,2,01.34.6
Verstappen,11,2,01.34.5
Verstappen,12,2,01.34.4
Verstappen,13,2,01.34.2
Verstappen,14,2,01.33.8
Verstappen,15,2,01.33.6
Verstappen,16,2,01.33.4
Verstappen,17,2,01.33.3
Verstappen,18,2,01.33.2
Verstappen,19,2,01.33.3
Verstappen,20,2,01.33.4
Verstappen,21,2,01.33.4
Verstappen,22,2,01.33.5
Verstappen,23,2,01.33.3
Verstappen,24,2,01.33.8
Verstappen,25,2,01.34.2
Verstappen,26,2,01.33.8
Verstappen,27,2,01.33.9
Verstappen,28,2,01.33.9
Verstappen,29,2,01.33.9
Verstappen,30,2,01.34.0
Verstappen,31,2,01.34.2
Verstappen,32,2,01.34.2
Verstappen,33,2,01.34.1
Verstappen,34,2,01.34.5
Verstappen,35,2,01.35.0
Verstappen,36,2,01.34.9
Verstappen,37,3,01.51.5
Verstappen,38,3,01.35.4
Verstappen,39,3,01.34.9
Verstappen,40,3,01.34.6
Verstappen,41,3,01.34.5
Verstappen,42,3,01.34.4
Verstappen,43,3,01.34.4
Verstappen,44,3,01.34.7
Verstappen,45,3,01.34.9
Verstappen,46,3,01.34.3
Verstappen,47,3,01.34.3
Verstappen,48,2,01.34.1
Verstappen,49,2,01.34.2
Verstappen,50,2,01.33.4
Verstappen,51,2,01.33.3
Verstappen,52,2,01.33.6
Verstappen,53,2,01.32.8
Verstappen,54,2,01.33.2
Verstappen,55,2,01.32.9
Verstappen,56,2,01.33.8
Verstappen,57,2,01.34.4
Verstappen,58,2,01.34.1
Leclerc,1,3,01.38.1
Leclerc,2,3,01.34.8
Leclerc,3,3,01.34.9
Leclerc,4,3,01.34.7
Leclerc,5,3,01.34.8
Leclerc,6,3,01.35.0
Leclerc,7,3,01.34.8
Leclerc,8,3,01.34.7
Leclerc,9,3,01.34.7
Leclerc,10,3,01.34.9
Leclerc,11,3,01.34.2
Leclerc,12,3,01.34.5
Leclerc,13,3,01.33.9
Leclerc,14,3,01.33.8
Leclerc,15,3,01.33.5
Leclerc,16,3,01.34.1
Leclerc,17,3,01.33.3
Leclerc,18,3,01.33.3
Leclerc,19,3,01.33.2
Leclerc,20,3,01.33.3
Leclerc,21,3,01.33.5
Leclerc,22,3,01.33.5
Leclerc,23,3,01.33.0
Leclerc,24,3,01.33.5
Leclerc,25,3,01.34.3
Leclerc,26,3,01.34.6
Leclerc,27,3,01.33.6
Leclerc,28,3,01.33.8
Leclerc,29,3,01.33.7
Leclerc,30,3,01.33.9
Leclerc,31,3,01.34.1
Leclerc,32,3,01.34.8
Leclerc,33,3,01.33.8
Leclerc,34,3,01.34.2
Leclerc,35,3,01.35.1
Leclerc,36,3,01.34.4
Leclerc,37,2,01.37.8
Leclerc,38,1,01.35.9
Leclerc,39,1,01.34.5
Leclerc,40,1,01.34.6
Leclerc,41,1,01.34.4
Leclerc,42,1,01.34.5
Leclerc,43,1,01.36.1
Leclerc,44,1,01.36.6
Leclerc,45,1,01.35.5
Leclerc,46,1,01.35.8
Leclerc,47,2,01.38.1
Leclerc,48,4,01.54.1
Leclerc,49,4,01.33.6
Leclerc,50,4,01.34.6
Leclerc,51,4,01.36.3
Leclerc,52,4,01.36.0
Leclerc,53,4,01.34.3
Leclerc,54,4,01.33.9
Leclerc,55,4,01.33.4
Leclerc,56,4,01.32.8
Leclerc,57,4,01.32.7
Leclerc,58,4,01.33.9
Perez,1,4,01.39.3
Perez,2,4,01.35.0
Perez,3,4,01.35.2
Perez,4,4,01.34.9
Perez,5,4,01.35.1
Perez,6,4,01.34.6
Perez,7,4,01.34.9
Perez,8,4,01.35.1
Perez,9,4,01.35.2
Perez,10,4,01.35.0
Perez,11,4,01.35.0
Perez,12,4,01.34.5
Perez,13,4,01.34.5
Perez,14,4,01.34.7
Perez,15,4,01.34.6
Perez,16,4,01.34.3
Perez,17,4,01.33.8
Perez,18,4,01.34.0
Perez,19,4,01.33.7
Perez,20,4,01.34.0
Perez,21,4,01.33.5
Perez,22,4,01.33.6
Perez,23,4,01.33.2
Perez,24,4,01.33.3
Perez,25,4,01.33.2
Perez,26,4,01.34.3
Perez,27,4,01.35.3
Perez,28,4,01.35.0
Perez,29,4,01.34.2
Perez,30,4,01.35.2
Perez,31,4,01.34.6
Perez,32,4,01.35.0
Perez,33,4,01.34.6
Perez,34,5,01.36.9
Perez,35,4,01.36.9
Perez,36,4,01.34.4
Perez,37,5,01.35.7
Perez,38,6,01.52.3
Perez,39,6,01.33.7
Perez,40,5,01.34.1
Perez,41,5,01.34.1
Perez,42,5,01.34.5
Perez,43,5,01.34.8
Perez,44,5,01.34.9
Perez,45,5,01.34.5
Perez,46,5,01.34.1
Perez,47,5,01.33.7
Perez,48,5,01.34.8
Perez,49,5,01.33.9
Perez,50,5,01.33.6
Perez,51,3,01.35.0
Perez,52,3,01.32.8
Perez,53,3,01.32.5
Perez,54,3,01.32.6
Perez,55,3,01.33.4
Perez,56,3,01.32.8
Perez,57,3,01.36.0
Perez,58,3,01.33.2
Hamilton,1,9,01.44.1
Hamilton,2,9,01.36.4
Hamilton,3,9,01.36.0
Hamilton,4,9,01.36.3
Hamilton,5,9,01.36.0
Hamilton,6,9,01.36.5
Hamilton,7,9,01.36.6
Hamilton,8,8,01.35.4
Hamilton,9,7,01.34.4
Hamilton,10,6,01.34.2
Hamilton,11,6,01.33.5
Hamilton,12,6,01.33.4
Hamilton,13,6,01.33.7
Hamilton,14,5,01.33.8
Hamilton,15,5,01.33.4
Hamilton,16,5,01.33.7
Hamilton,17,5,01.33.4
Hamilton,18,5,01.33.5
Hamilton,19,5,01.33.4
Hamilton,20,5,01.33.0
Hamilton,21,5,01.33.0
Hamilton,22,5,01.33.3
Hamilton,23,5,01.33.2
Hamilton,24,5,01.33.1
Hamilton,25,5,01.33.7
Hamilton,26,5,01.34.2
Hamilton,27,5,01.34.6
Hamilton,28,5,01.34.7
Hamilton,29,5,01.34.1
Hamilton,30,5,01.34.1
Hamilton,31,5,01.34.7
Hamilton,32,5,01.34.8
Hamilton,33,5,01.34.8
Hamilton,34,4,01.36.0
Hamilton,35,5,01.37.4
Hamilton,36,5,01.34.6
Hamilton,37,4,01.35.0
Hamilton,38,4,01.34.5
Hamilton,39,4,01.34.8
Hamilton,40,4,01.35.2
Hamilton,41,4,01.34.7
Hamilton,42,4,01.34.6
Hamilton,43,4,01.34.9
Hamilton,44,4,01.34.6
Hamilton,45,4,01.34.1
Hamilton,46,4,01.35.1
Hamilton,47,4,01.34.7
Hamilton,48,3,01.35.0
Hamilton,49,3,01.34.7
Hamilton,50,3,01.35.0
Hamilton,51,5,01.50.5
Hamilton,52,5,01.32.8
Hamilton,53,5,01.35.2
Hamilton,54,5,01.35.2
Hamilton,55,5,01.34.4
Hamilton,56,5,01.33.7
Hamilton,57,5,01.33.1
Hamilton,58,5,01.32.9
