driver,lap,position,time
Hamilton,1,1,1.41.458
Hamilton,2,1,1.42.040
Hamilton,3,1,1.41.250
Hamilton,4,1,1.41.071
Hamilton,5,1,1.41.628
Hamilton,6,1,1.41.906
Hamilton,7,1,1.41.677
Hamilton,8,1,1.41.763
Hamilton,9,1,1.41.590
Hamilton,10,1,1.41.732
Hamilton,11,1,1.41.822
Hamilton,12,1,1.42.073
Hamilton,13,1,1.42.177
Hamilton,14,2,2.01.383
Hamilton,15,2,1.40.336
Hamilton,16,2,1.40.808
Hamilton,17,2,1.40.906
Hamilton,18,2,1.40.559
Hamilton,19,2,1.40.850
Hamilton,20,2,1.40.432
Hamilton,21,2,1.40.807
Hamilton,22,2,1.40.768
Hamilton,23,2,1.40.196
Hamilton,24,2,1.40.422
Hamilton,25,2,1.40.242
Hamilton,26,2,1.40.878
Hamilton,27,2,1.41.212
Hamilton,28,2,1.50.366
Hamilton,29,2,1.40.504
Hamilton,30,1,1.40.081
Hamilton,31,1,1.40.582
Hamilton,32,1,1.40.866
Hamilton,33,1,1.40.796
Hamilton,34,1,1.41.465
Hamilton,35,1,1.41.225
Hamilton,36,1,1.41.373
Hamilton,37,1,1.41.436
Hamilton,38,2,2.00.017
Hamilton,39,2,1.40.304
Hamilton,40,2,1.39.668
Hamilton,41,2,1.38.485
Hamilton,42,2,1.38.808
Hamilton,43,2,1.39.781
Hamilton,44,2,1.39.229
Hamilton,45,2,1.39.025
Hamilton,46,2,1.38.892
Hamilton,47,2,1.38.807
Hamilton,48,2,1.38.845
Hamilton,49,2,1.38.923
Hamilton,50,2,1.38.878
Hamilton,51,2,1.39.601
Hamilton,52,2,1.39.265
Hamilton,53,2,1.39.170
Hamilton,54,2,1.39.423
Hamilton,55,2,1.39.962
Hamilton,56,2,1.40.122
Verstappen,1,2,1.42.612
Verstappen,2,2,1.41.750
Verstappen,3,2,1.41.271
Verstappen,4,2,1.41.125
Verstappen,5,2,1.41.482
Verstappen,6,2,1.41.830
Verstappen,7,2,1.41.741
Verstappen,8,2,1.41.932
Verstappen,9,2,1.41.568
Verstappen,10,2,1.41.710
Verstappen,11,4,1.58.851
Verstappen,12,4,1.40.426
Verstappen,13,2,1.40.102
Verstappen,14,1,1.40.411
Verstappen,15,1,1.40.736
Verstappen,16,1,1.40.872
Verstappen,17,1,1.40.891
Verstappen,18,1,1.40.798
Verstappen,19,1,1.40.659
Verstappen,20,1,1.41.038
Verstappen,21,1,1.40.802
Verstappen,22,1,1.40.991
Verstappen,23,1,1.40.837
Verstappen,24,1,1.40.838
Verstappen,25,1,1.41.215
Verstappen,26,1,1.41.493
Verstappen,27,1,1.40.653
Verstappen,28,1,1.50.440
Verstappen,29,1,1.41.165
Verstappen,30,2,1.59.712
Verstappen,31,2,1.40.355
Verstappen,32,2,1.40.452
Verstappen,33,2,1.40.126
Verstappen,34,2,1.40.150
Verstappen,35,2,1.40.490
Verstappen,36,2,1.40.266
Verstappen,37,2,1.40.012
Verstappen,38,1,1.40.077
Verstappen,39,1,1.40.687
Verstappen,40,1,1.39.955
Verstappen,41,1,1.40.374
Verstappen,42,1,1.40.216
Verstappen,43,1,1.40.207
Verstappen,44,1,1.39.661
Verstappen,45,1,1.39.564
Verstappen,46,1,1.39.509
Verstappen,47,1,1.39.138
Verstappen,48,1,1.39.226
Verstappen,49,1,1.39.102
Verstappen,50,1,1.39.238
Verstappen,51,1,1.39.425
Verstappen,52,1,1.39.096
Verstappen,53,1,1.39.519
Verstappen,54,1,1.39.806
Verstappen,55,1,1.40.282
Verstappen,56,1,1.39.668
Perez,1,3,1.44.121
Perez,2,3,1.42.284
Perez,3,3,1.41.373
Perez,4,3,1.41.388
Perez,5,3,1.41.604
Perez,6,3,1.42.040
Perez,7,3,1.41.608
Perez,8,3,1.42.247
Perez,9,3,1.42.181
Perez,10,3,1.42.049
Perez,11,2,1.42.269
Perez,12,2,1.43.229
Perez,13,3,2.01.373
Perez,14,3,1.40.287
Perez,15,3,1.40.889
Perez,16,3,1.41.070
Perez,17,3,1.41.032
Perez,18,3,1.40.812
Perez,19,3,1.40.949
Perez,20,3,1.41.116
Perez,21,3,1.41.327
Perez,22,3,1.40.993
Perez,23,3,1.41.468
Perez,24,3,1.41.442
Perez,25,3,1.41.784
Perez,26,3,1.41.622
Perez,27,3,1.48.071
Perez,28,3,1.46.295
Perez,29,3,1.41.519
Perez,30,3,1.44.262
Perez,31,4,2.00.031
Perez,32,4,1.39.566
Perez,33,3,1.40.025
Perez,34,3,1.41.176
Perez,35,3,1.40.182
Perez,36,3,1.40.434
Perez,37,3,1.39.981
Perez,38,3,1.40.268
Perez,39,3,1.40.488
Perez,40,3,1.40.563
Perez,41,3,1.40.671
Perez,42,3,1.41.319
Perez,43,3,1.40.754
Perez,44,3,1.40.390
Perez,45,3,1.41.123
Perez,46,3,1.40.296
Perez,47,3,1.40.044
Perez,48,3,1.40.512
Perez,49,3,1.40.625
Perez,50,3,1.40.867
Perez,51,3,1.40.874
Perez,52,3,1.40.644
Perez,53,3,1.41.887
