driver,lap,position,time
Verstappen,1,1,01.17.7
Verstappen,2,1,01.15.0
Verstappen,3,1,01.14.8
Verstappen,4,1,01.14.9
Verstappen,5,1,01.14.9
Verstappen,6,1,01.14.9
Verstappen,7,1,01.15.1
Verstappen,8,1,01.15.1
Verstappen,9,1,01.15.1
Verstappen,10,1,01.15.1
Verstappen,11,1,01.15.2
Verstappen,12,1,01.14.9
Verstappen,13,1,01.15.1
Verstappen,14,1,01.15.1
Verstappen,15,1,01.15.1
Verstappen,16,1,01.15.2
Verstappen,17,1,01.15.4
Verstappen,18,1,01.15.3
Verstappen,19,1,01.15.6
Verstappen,20,1,01.15.9
Verstappen,21,1,01.18.6
Verstappen,22,2,01.32.6
Verstappen,23,2,01.14.2
Verstappen,24,2,01.14.3
Verstappen,25,2,01.14.6
Verstappen,26,2,01.15.4
Verstappen,27,2,01.14.4
Verstappen,28,2,01.14.7
Verstappen,29,2,01.15.2
Verstappen,30,1,01.16.4
Verstappen,31,1,01.15.1
Verstappen,32,1,01.14.9
Verstappen,33,1,01.14.8
Verstappen,34,1,01.14.5
Verstappen,35,1,01.15.0
Verstappen,36,1,01.14.7
Verstappen,37,1,01.14.0
Verstappen,38,1,01.14.2
Verstappen,39,1,01.13.9
Verstappen,40,1,01.17.0
Verstappen,41,1,01.31.3
Verstappen,42,1,01.13.5
Verstappen,43,1,01.13.5
Verstappen,44,1,01.14.5
Verstappen,45,1,01.13.8
Verstappen,46,1,01.13.9
Verstappen,47,1,01.13.7
Verstappen,48,1,01.13.7
Verstappen,49,1,01.13.7
Verstappen,50,1,01.13.4
Verstappen,51,1,01.13.7
Verstappen,52,1,01.14.0
Verstappen,53,1,01.13.7
Verstappen,54,1,01.14.5
Verstappen,55,1,01.14.9
Verstappen,56,1,01.13.8
Verstappen,57,1,01.13.5
Verstappen,58,1,01.13.7
Verstappen,59,1,01.13.6
Verstappen,60,1,01.13.3
Verstappen,61,1,01.13.4
Verstappen,62,1,01.13.7
Verstappen,63,1,01.13.9
Verstappen,64,1,01.13.9
Verstappen,65,1,01.13.6
Verstappen,66,1,01.13.5
Verstappen,67,1,01.14.7
Verstappen,68,1,01.14.5
Verstappen,69,1,01.14.2
Verstappen,70,1,01.13.5
Verstappen,71,1,01.14.0
Verstappen,72,1,01.14.8
Hamilton,1,2,01.19.4
Hamilton,2,2,01.15.4
Hamilton,3,2,01.15.0
Hamilton,4,2,01.14.8
Hamilton,5,2,01.15.1
Hamilton,6,2,01.15.1
Hamilton,7,2,01.15.4
Hamilton,8,2,01.15.4
Hamilton,9,2,01.14.8
Hamilton,10,2,01.15.1
Hamilton,11,2,01.15.2
Hamilton,12,2,01.15.0
Hamilton,13,2,01.15.1
Hamilton,14,2,01.15.5
Hamilton,15,2,01.15.1
Hamilton,16,2,01.15.2
Hamilton,17,2,01.15.4
Hamilton,18,2,01.15.5
Hamilton,19,2,01.15.6
Hamilton,20,2,01.19.1
Hamilton,21,3,01.32.5
Hamilton,22,3,01.13.8
Hamilton,23,3,01.14.2
Hamilton,24,3,01.14.2
Hamilton,25,3,01.14.4
Hamilton,26,3,01.14.9
Hamilton,27,3,01.14.8
Hamilton,28,3,01.14.6
Hamilton,29,3,01.16.2
Hamilton,30,3,01.14.5
Hamilton,31,2,01.16.0
Hamilton,32,2,01.15.0
Hamilton,33,2,01.14.7
Hamilton,34,2,01.14.6
Hamilton,35,2,01.14.8
Hamilton,36,2,01.14.7
Hamilton,37,2,01.14.5
Hamilton,38,2,01.14.8
Hamilton,39,2,01.17.1
Hamilton,40,2,01.32.3
Hamilton,41,2,01.13.3
Hamilton,42,2,01.13.4
Hamilton,43,2,01.13.8
Hamilton,44,2,01.13.7
Hamilton,45,2,01.14.5
Hamilton,46,2,01.14.2
Hamilton,47,2,01.14.1
Hamilton,48,2,01.13.6
Hamilton,49,2,01.13.1
Hamilton,50,2,01.13.5
Hamilton,51,2,01.13.3
Hamilton,52,2,01.13.5
Hamilton,53,2,01.13.5
Hamilton,54,2,01.13.7
Hamilton,55,2,01.15.3
Hamilton,56,2,01.13.8
Hamilton,57,2,01.13.5
Hamilton,58,2,01.13.5
Hamilton,59,2,01.14.5
Hamilton,60,2,01.13.7
Hamilton,61,2,01.14.5
Hamilton,62,2,01.13.8
Hamilton,63,2,01.13.7
Hamilton,64,2,01.13.7
Hamilton,65,2,01.13.8
Hamilton,66,2,01.13.7
Hamilton,67,2,01.13.5
Hamilton,68,2,01.14.9
Hamilton,69,2,01.14.0
Hamilton,70,2,01.16.3
Hamilton,71,2,01.32.7
Hamilton,72,2,01.11.1
Bottas,1,3,01.20.4
Bottas,2,3,01.15.9
Bottas,3,3,01.15.7
Bottas,4,3,01.15.2
Bottas,5,3,01.15.2
Bottas,6,3,01.15.5
Bottas,7,3,01.15.6
Bottas,8,3,01.15.2
Bottas,9,3,01.15.8
