driver,lap,time
Verstappen,1,01.38.6
Verstappen,2,02.29.2
Verstappen,3,02.23.2
Verstappen,4,02.20.3
Verstappen,5,02.25.7
Verstappen,6,02.20.8
Verstappen,7,01.36.3
Verstappen,8,01.32.9
Verstappen,9,01.31.0
Verstappen,10,01.30.1
Verstappen,11,01.29.2
Verstappen,12,01.28.8
Verstappen,13,01.28.1
Verstappen,14,01.27.7
Verstappen,15,01.27.1
Verstappen,16,01.26.6
Verstappen,17,01.26.6
Verstappen,18,01.27.0
Verstappen,19,01.27.1
Verstappen,20,01.27.1
Verstappen,21,01.28.6
Verstappen,22,01.28.3
Verstappen,23,01.29.5
Verstappen,24,01.29.8
Verstappen,25,01.29.0
Verstappen,26,01.28.2
Verstappen,27,01.31.7
Verstappen,28,01.51.3
Verstappen,29,01.24.2
Verstappen,30,01.26.4
Verstappen,31,01.23.0
Verstappen,32,01.44.2
Verstappen,33,02.24.1
Verstappen,34,null
Verstappen,35,01.23.7
Verstappen,36,01.21.0
Verstappen,37,01.20.4
Verstappen,38,01.19.7
Verstappen,39,01.19.6
Verstappen,40,01.18.9
Verstappen,41,01.18.8
Verstappen,42,01.18.7
Verstappen,43,01.18.5
Verstappen,44,01.18.4
Verstappen,45,01.18.3
Verstappen,46,01.18.0
Verstappen,47,01.18.2
Verstappen,48,01.18.1
Verstappen,49,01.18.2
Verstappen,50,01.18.6
Verstappen,51,01.18.2
Verstappen,52,01.18.0
Verstappen,53,01.17.9
Verstappen,54,01.17.8
Verstappen,55,01.17.8
Verstappen,56,01.17.9
Verstappen,57,01.18.4
Verstappen,58,01.18.0
Verstappen,59,01.18.0
Verstappen,60,01.17.5
Verstappen,61,01.18.3
Verstappen,62,01.17.5
Verstappen,63,01.18.0
Hamilton,1,01.42.6
Hamilton,2,02.28.4
Hamilton,3,02.21.8
Hamilton,4,02.21.7
Hamilton,5,02.25.1
Hamilton,6,02.18.6
Hamilton,7,01.39.2
Hamilton,8,01.34.6
Hamilton,9,01.31.3
Hamilton,10,01.30.1
Hamilton,11,01.28.7
Hamilton,12,01.28.6
Hamilton,13,01.28.3
Hamilton,14,01.28.0
Hamilton,15,01.27.1
Hamilton,16,01.26.6
Hamilton,17,01.27.5
Hamilton,18,01.26.6
Hamilton,19,01.27.0
Hamilton,20,01.27.0
Hamilton,21,01.28.3
Hamilton,22,01.29.3
Hamilton,23,01.28.4
Hamilton,24,01.28.1
Hamilton,25,01.28.8
Hamilton,26,01.27.1
Hamilton,27,01.27.0
Hamilton,28,01.30.4
Hamilton,29,01.53.3
Hamilton,30,01.23.1
Hamilton,31,02.47.0
Hamilton,32,02.47.4
Hamilton,33,null
Hamilton,34,null
Hamilton,35,01.28.5
Hamilton,36,01.23.2
Hamilton,37,01.21.0
Hamilton,38,01.21.4
Hamilton,39,01.19.5
Hamilton,40,01.19.3
Hamilton,41,01.19.2
Hamilton,42,01.18.3
Hamilton,43,01.18.6
Hamilton,44,01.18.6
Hamilton,45,01.18.7
Hamilton,46,01.18.4
Hamilton,47,01.18.5
